ID	Name	Classes
IL_1_alpha	Il1a	Interleukin
IL_1_beta	Il1b	Interleukin
IL_10	Il10	Interleukin
IL_12p70	Il12	Interleukin
IL_13	Il13	Interleukin
IL_15	Il15	Interleukin
IL_17A_CTLA_8	Il17a	Interleukin
IL_18	Il18	Interleukin
IL_2	Il2	Interleukin
IL_22	Il22	Interleukin
IL_23	Il23	Interleukin
IL_27	Il27	Interleukin
IL_28	Il28	Interleukin
IL_3	Il3	Interleukin
IL_31	Il31	Interleukin
IL_4	Il4	Interleukin
IL_5	Il5	Interleukin
IL_6	Il6	Interleukin
IL_9	Il9	Interleukin
RANTES_CCL5	Ccl5	Ccl/Cxcl
MIP_1_alpha_CCL3	Ccl3	Ccl/Cxcl
MCP_3_CCL7	Ccl7	Ccl/Cxcl
MCP_1_CCL2	Ccl2	Ccl/Cxcl
Eotaxin_CCL11	Ccl11	Ccl/Cxcl
MIP_1_beta_CCL4	Ccl4	Ccl/Cxcl
G_CSF_CSF_3	G-Csf	Other
LIF	Lif	Other
M_CSF	M-Csf	Other
IP_10_CXCL10	Cxcl10	Ccl/Cxcl
IFN_alpha	Ifna	Other
IFN_gamma	Ifng	Other
GM_CSF	GM-Csf	Other
GRO_alpha_CXCL1	Cxcl1 	Ccl/Cxcl
TNF_alpha	Tnf	Other
MIP_2_alpha_CXCL2	Cxcl2	Ccl/Cxcl
ENA_78_CXCL5	Cxcl5	Ccl/Cxcl
