Sample	G-CSF (CSF-3)	IL-10	IL-3	LIF	IL-1 beta	IL-2	M-CSF	IP-10 (CXCL10)	IL-4	IL-5	IL-6	IFN alpha	IL-22	IL-9	IL-13	IL-27	IL-23	IFN gamma	IL-12p70	GM-CSF	GRO alpha (CXCL1)	RANTES (CCL5)	TNF alpha	MIP-1 alpha (CCL3)	MCP-3 (CCL7)	MCP-1 (CCL2)	IL-17A (CTLA-8)	IL-15	MIP-2 alpha (CXCL2)	IL-1 alpha	ENA-78 (CXCL5)	Eotaxin (CCL11)	IL-28	IL-18	MIP-1 beta (CCL4)	IL-31	Total Events
1-2 2	31.29837082	128.769633	< 0.5126953125	2.838869427	1.161563313	73.65280538	0.616962183	578.1457221	3.607156669	5.015198704	67.32940456	< 7.71484375	55.31208567	54.5744061	22.79339524	37.96327081	4.308818367	7.858625236	20.65066332	8.126259626	111.8766024	72.08160673	20.04861943	2.729975234	371.7909241	58.20498687	4.577362427	5.774501253	17.28082996	10.14541354	291.1235287	987.39849	52.04794328	< 29.9560546875	10.06230298	12.06111175	5320
2-1 2	6.037536434	46.85997022	< 0.5126953125	13.57677582	4.020276753	10.57658027	< 0.32958984375	198.326593	5.505120562	18.54801552	27.49782259	< 7.71484375	76.44235282	495.4218827	39.07116713	58.81806593	11.68929459	1.842964214	4.727535225	18.19481434	39.08735311	77.76599874	6.649457722	15.67095086	185.7997949	224.0151815	7.67991104	4.849014646	16.88408796	< 3.3935546875	1465.370515	2139.328218	110.1747567	1419.814263	< 0.98876953125	20.75083734	5275
2-2 2	52.03107024	53.6519086	< 0.5126953125	107.9675945	1.815092265	32.56716409	< 0.32958984375	393.7832771	2.381759311	50.85355208	33.43152663	296.4529703	343.0144558	207.4246769	20.65738114	29.49708455	205.6765824	5.149720739	6.526609695	8.350380918	40.07938296	74.94878085	4.8889233	2.729975234	178.5511216	49.25113582	46.36882563	24.87932963	10.96715966	8.407824392	600.7792741	1901.081612	158.7044809	497.1930492	< 0.98876953125	7.411675727	4697
2-3 2	11.74277757	208.690769	< 0.5126953125	13.57677582	3.113592743	2.846214503	< 0.32958984375	249.4777529	3.581880008	18.59149998	63.98016806	< 7.71484375	150.5284076	334.1771325	15.87554705	93.48213284	15.90241715	6.054653245	6.36839618	9.645545328	50.84017719	63.28145542	8.919633243	32.6459761	124.8913756	113.5105472	19.4882066	31.49184602	14.89426898	11.23999621	765.698516	556.0706543	301.1164093	167.9870878	< 0.98876953125	18.67910255	6514
2-4 2	4.773483383	55.1721356	< 0.5126953125	6.098070831	1.204449029	0.708822522	< 0.32958984375	245.7122129	1.625676834	16.9784683	11.74830056	< 7.71484375	38.73380157	62.08276867	7.365249135	10.96074324	5.536673965	< 1.0986328125	11.98155462	9.007933769	27.47922472	54.33036995	7.416739529	2.607384799	129.9462882	< 12.01171875	7.800210994	1.817181167	8.988997823	< 3.3935546875	497.648275	511.061203	67.98634356	138.0359259	3.261498804	9.514665658	7485
3-1 2	5.966092221	101.0863183	< 0.5126953125	16.95990399	4.699551469	47.99536804	0.349053912	408.6020495	8.024374363	12.92609078	65.2378668	< 7.71484375	111.6414709	44.18469407	1.829719939	11.51887679	19.88769377	7.452760506	11.8507143	21.96159382	104.0241954	219.9722464	32.95707117	4.043398193	255.3756709	1159.506893	9.345217282	10.13491424	19.07487798	7.562725269	2415.567497	2295.281168	159.8612627	288.9138034	6.612472586	26.57815294	5396
4-1 2	10.50185708	31.79970278	35.47227609	13.16714276	3.133500616	5.739586988	< 0.32958984375	273.3783606	4.586319439	7.976333498	35.64572637	< 7.71484375	67.77911639	99.91459588	4.508784186	27.21126078	18.78585071	0.917125923	13.51271664	8.350380918	83.50109294	69.943591	10.27583194	3.641464052	233.5416664	< 12.01171875	3.544086771	4.044654008	13.88410214	8.104597906	1300.466215	> 2400	93.15086544	< 29.9560546875	< 0.98876953125	9.368525855	5191
4-3 2	7.362272789	52.88173458	2.097296028	19.10077731	6.752983916	16.43858187	< 0.32958984375	251.7994185	8.725584306	12.34789421	26.13926756	< 7.71484375	106.0903704	124.1906848	4.552122226	18.1217756	29.37559254	3.551767479	5.715963536	18.83074949	18.51884341	84.14578617	8.518755875	2.442901845	283.9700754	298.3422624	8.827999772	3.631869696	12.15675306	12.03379369	2941.611004	2290.314629	169.6042788	1100.697822	0.730350664	28.81943649	5334
5-1 2	4.516753391	36.95865163	< 0.5126953125	8.028071858	2.328758637	8.601546349	< 0.32958984375	258.6387109	3.834236779	4.921243408	16.3071087	< 7.71484375	60.1087361	63.27529985	4.42202931	10.82132113	9.001455793	< 1.0986328125	9.845984695	10.77037679	44.40309302	60.69571175	4.514241194	1.920177953	187.7109571	191.7997783	3.972293136	1.63876972	17.36290132	4.744542242	1158.490424	2627.899099	79.44478462	< 29.9560546875	1.834318927	10.66488654	4876
5-2 2	7.798236992	61.72291898	< 0.5126953125	11.38133056	3.133500616	12.03587128	< 0.32958984375	213.6044784	6.268697334	10.78304857	23.51743968	< 7.71484375	44.83194758	40.77008393	9.007994077	6.387703929	7.977381427	1.091505311	10.1240711	8.126259626	66.57578818	75.49987509	12.04632636	1.539153114	285.1390434	472.1855475	5.981357109	5.678390479	19.98602611	9.864478342	3098.85844	3289.222452	54.4017085	< 29.9560546875	< 0.98876953125	11.78519565	5314
6-1 2	49.07693939	323.103344	2.182436543	77.06293527	423.8486839	18.0709625	1.774687672	338.2578317	10.45428588	78.07248173	132.656168	59.64262274	687.0628373	1031.104725	55.34889039	242.0123304	108.6889644	56.01725825	9.687435687	17.54943619	26.39450093	136.6250543	978.611605	10.05125403	67.8515402	4100.653527	65.64819679	55.94413319	14.35760055	33.03211625	278.4680786	1549.534935	674.0934793	1210.689238	< 0.98876953125	20.38907538	5177
6-3 2	9.943717182	100.5460495	1.677936808	13.16714276	4.815215975	39.43528352	1.293346931	728.0925099	2.818853217	10.87281053	322.9925912	< 7.71484375	43.31572432	58.79118639	4.146587855	32.36074618	21.34620034	3.725181754	13.88231683	8.791100763	340.1073897	254.2857663	101.0377167	4.80089775	458.8952398	4241.744959	4.403860116	13.39408771	17.96423475	20.93698939	5074.889551	> 2400	76.62601219	1128.465294	7.212096818	22.89020104	6129
9-1 2	11.84279036	38.40899073	1.364337964	17.63076053	6.03680398	11.45589139	< 0.32958984375	296.6104585	3.531298515	29.4337583	20.86935484	< 7.71484375	108.1751647	42.9463837	5.556519604	17.55704584	39.08999094	3.096437988	8.233524184	13.25197895	41.03492938	58.92320844	10.83339449	1.773718957	173.5057711	165.1874225	13.23777581	7.552939912	13.81052883	< 3.3935546875	829.8833749	1273.936951	94.48963142	1864.06252	< 0.98876953125	9.660253266	5724
9-2 2	5.318972226	47.6906029	0.180660872	13.44032791	3.49025326	8.37198259	< 0.32958984375	383.8181351	4.161009843	12.65942336	15.35798616	< 7.71484375	50.09952071	24.46250042	5.127591325	20.24340928	< 6.8115234375	< 1.0986328125	11.33208941	6.719531505	46.99334573	261.7997198	12.31955952	2.566377196	295.7173489	437.0165806	8.797641944	6.72099937	16.43200639	3.221840501	3594.736419	> 2400	70.89870891	< 29.9560546875	1.900677352	5.483436218	5422
