"","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","pvalU_FucoVsCtrl","padjU_FucoVsCtrl"
"G_CSF_CSF_3",0.202665461776765,0.114524177632847,0.558376931674093,0.0773788451396422,0.557127685005424
"IL_10",0.0233844890219787,0.7661791054455,0.9194149265346,0.514104819649332,0.821880253569105
"IL_3",-0.0131393836541873,0.930868803650983,0.979144361969242,0.963876266575544,0.969384732423635
"LIF",0.10254816979105,0.586608012950054,0.9194149265346,0.744182633309243,0.864212090294605
"IL_1_beta",-0.0976251535239683,0.524631138995815,0.9194149265346,0.68690144719975,0.852806492669714
"IL_2",0.165703768199609,0.226979471641173,0.763596954719333,0.181985309188724,0.617687960344535
"M_CSF",0.102803963299237,0.640047359711063,0.9194149265346,0.714233897407315,0.857080676888778
"IP_10_CXCL10",0.0462720365816083,0.0900740225774861,0.558376931674093,0.126103791422261,0.617687960344535
"IL_4",-0.0375509566912684,0.751289552603086,0.9194149265346,0.893151458170401,0.945689779239248
"IL_5",-0.0522168956066128,0.635302228283855,0.9194149265346,0.442808879543591,0.821880253569105
"IL_6",0.122652714087559,0.233321291719796,0.763596954719333,0.309164890776822,0.741995737864373
"IFN_alpha",0.117554686443465,0.497208035655817,0.9194149265346,0.54792016904607,0.821880253569105
"IL_22",-0.0126065228188048,0.892633970125052,0.979144361969242,0.249611518545537,0.641858190545668
"IL_9",0.0514603581828893,0.595281014099946,0.9194149265346,0.686983007983936,0.852806492669714
"IL_13",-0.0792006845678685,0.500803214513753,0.9194149265346,0.495302728819922,0.821880253569105
"IL_27",0.167859618586405,0.119349733906124,0.558376931674093,0.195021020595693,0.617687960344535
"IL_23",0.102493454529478,0.554816945358326,0.9194149265346,0.425906326790522,0.821880253569105
"IFN_gamma",0.104285136398149,0.729808434983591,0.9194149265346,0.642634257410036,0.852806492669714
"IL_12p70",0.0298863866987749,0.759335724203682,0.9194149265346,0.791267137168743,0.890175529314835
"GM_CSF",-0.070146141007218,0.57721816299071,0.9194149265346,0.144793304379703,0.617687960344535
"GRO_alpha_CXCL1",0.130626692411963,0.0516590049687244,0.46493104471852,0.0331965785747861,0.298769207173075
"RANTES_CCL5",0.0307702711607863,0.460733757305617,0.9194149265346,0.157815694687219,0.617687960344535
"TNF_alpha",0.00480809620809065,0.954975466305803,0.979144361969242,0.969384732423635,0.969384732423635
"MIP_1_alpha_CCL3",0.108876308747576,0.465190205109964,0.9194149265346,0.219471815449529,0.617687960344535
"MCP_3_CCL7",0.0678368654880966,0.000452568853410273,0.0162924787227698,0.0010342063991046,0.0372314303677654
"MCP_1_CCL2",0.254826440933648,0.00499492896558884,0.0899087213805991,0.00598306389349057,0.10769515008283
"IL_17A_CTLA_8",-0.0570810237155802,0.707303641762325,0.9194149265346,0.526633491807164,0.821880253569105
"IL_15",-0.00559316172714144,0.979144361969242,0.979144361969242,0.686983007983936,0.852806492669714
"MIP_2_alpha_CXCL2",0.0207294272289727,0.452964592778419,0.9194149265346,0.659003995790134,0.852806492669714
"IL_1_alpha",0.129038686625538,0.370929154263942,0.9194149265346,0.365595580281104,0.821880253569105
"ENA_78_CXCL5",-0.0974546544660787,0.124083762594243,0.558376931674093,0.223053985679971,0.617687960344535
"Eotaxin_CCL11",0.0374425601964009,0.141947621069314,0.567790484277255,0.152769355616794,0.617687960344535
"IL_28",-0.0103769344717774,0.917756123221199,0.979144361969242,0.454296009352908,0.821880253569105
"IL_18",0.0949705255894451,0.4575814060658,0.9194149265346,0.538108115944361,0.821880253569105
"MIP_1_beta_CCL4",0.385562397572066,0.0261881831169388,0.314258197403266,0.0328497312966779,0.298769207173075
"IL_31",-0.00489830623892572,0.974761032488317,0.979144361969242,0.862842135663833,0.94128232981509
