"","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","pvalU_FucoVsCtrl","padjU_FucoVsCtrl"
"G_CSF_CSF_3",0.0092917473315068,0.9388746893625,0.991638455931608,0.78325827938831,1
"IL_10",-0.133874008146938,0.184131887699848,0.991638455931608,0.230520261595801,1
"IL_3",-0.490159193988039,0.20586986829136,0.991638455931608,0.29869755599497,1
"LIF",-0.0653658902208144,0.636153645988564,0.991638455931608,0.437586476242712,1
"IL_1_beta",-0.277759145723685,0.29384237899916,0.991638455931608,0.548832923041446,1
"IL_2",-0.0869092942929163,0.58750964054791,0.991638455931608,0.78325827938831,1
"M_CSF",-0.00561442791515397,0.991638455931608,0.991638455931608,0.150725350227545,1
"IP_10_CXCL10",-0.0184878870953229,0.500094716319988,0.991638455931608,0.78325827938831,1
"IL_4",-0.0877780410366048,0.570149924043751,0.991638455931608,0.358924577079188,1
"IL_5",-0.0133615901870523,0.933351066983384,0.991638455931608,0.596923484309002,1
"IL_6",-0.180419797041397,0.0863851830625515,0.991638455931608,0.162362792006755,1
"IFN_alpha",-0.12045231726354,0.147302143760907,0.991638455931608,0.171857339062799,1
"IL_22",-0.00134153381453579,0.986732109355513,0.991638455931608,0.621409558302449,1
"IL_9",0.02762960912235,0.810693538637271,0.991638455931608,0.629796416174125,1
"IL_13",0.100487842923449,0.674123896330858,0.991638455931608,0.890655783844638,1
"IL_27",0.0422214932014212,0.792958137244695,0.991638455931608,0.629796416174125,1
"IL_23",-0.0663298436937464,0.657217739817682,0.991638455931608,0.572370475147673,1
"IFN_gamma",-0.1597883849723,0.589643409996067,0.991638455931608,1,1
"IL_12p70",-0.044175468682103,0.551098566438103,0.991638455931608,0.44747396566282,1
"GM_CSF",0.0621759253036646,0.415810155274791,0.991638455931608,0.417438925033763,1
"GRO_alpha_CXCL1",-0.0055751144734239,0.953097128157187,0.991638455931608,0.78325827938831,1
"RANTES_CCL5",-0.0170311859537687,0.695045340218181,0.991638455931608,0.945210620133221,1
"TNF_alpha",-0.420663680209621,0.0242311120006296,0.872320032022664,0.237193920630453,1
"MIP_1_alpha_CCL3",0.00176423974443137,0.990635950035249,0.991638455931608,1,1
"MCP_3_CCL7",0.00207143227018182,0.947973811536598,0.991638455931608,0.490207805610282,1
"MCP_1_CCL2",-0.268568531663322,0.0637090911025504,0.991638455931608,0.0966674507398317,1
"IL_17A_CTLA_8",0.0424744951029661,0.78853125730198,0.991638455931608,0.534911811614598,1
"IL_15",-0.060413931854279,0.747121918951968,0.991638455931608,0.97187614764345,1
"MIP_2_alpha_CXCL2",0.0174726670910836,0.636323657373644,0.991638455931608,0.915768036305617,1
"IL_1_alpha",0.0501938556829346,0.728213863050696,0.991638455931608,0.887727025279207,1
"ENA_78_CXCL5",0.00294295214321878,0.953057828082253,0.991638455931608,0.890655783844638,1
"Eotaxin_CCL11",0.0188577536727219,0.354725437547935,0.991638455931608,0.288981318024902,1
"IL_28",-0.0365117965264223,0.584564063333628,0.991638455931608,0.887790125505186,1
"IL_18",0.0876350695729198,0.503843196602198,0.991638455931608,1,1
"MIP_1_beta_CCL4",0.0280620097939447,0.902566534904702,0.991638455931608,0.739055067086879,1
"IL_31",0.051234807097881,0.625301922614958,0.991638455931608,0.629796416174125,1
