,Month,Diet,Sex,AnimalID,Cage,Temperature,Weight,WeightScore,Integument,PhysicalMusculoskeletal,VestibulocochlearAuditory,OcularNasal,DigestiveUrogenital,Respiratory,Discomfort,Total
1,19,Ctrl,F,1-1,1,32,31,0.5,0,0.125,0,0,0,0,0,0.0344827586206897
2,19,Ctrl,F,1-2,1,32,33.4,0,0.1,0.0625,0,0,0,0,0,0.0344827586206897
3,19,Ctrl,F,1-3,1,32,29.5,1,0,0.125,0.25,0.357142857142857,0,0,0.25,0.155172413793103
4,19,Ctrl,F,1-4,1,31,28.3,1,0,0,0,0.0714285714285714,0,0,0,0.0172413793103448
5,19,Ctrl,F,2-1,2,31,30,1,0,0.25,0,0.214285714285714,0,0,0,0.120689655172414
6,19,Ctrl,F,2-2,2,32,30.1,1,0,0.25,0,0,0,0,0,0.0689655172413793
7,19,Ctrl,F,2-3,2,31,29.1,1,0,0.0625,0,0.0714285714285714,0.125,0.5,0,0.0689655172413793
8,19,Ctrl,F,2-4,2,32,31.6,1,0,0,0.25,0.142857142857143,0,0,0,0.0517241379310345
9,19,Ctrl,F,9-1,9,32,28.1,1,0.3,0.125,0.75,0.0714285714285714,0,0,0,0.155172413793103
10,19,Ctrl,F,9-2,9,32,27.1,1,0.5,0.125,0.25,0.0714285714285714,0,0,0,0.155172413793103
11,19,Ctrl,F,9-3,9,32,30.1,1,0.5,0.25,0,0.0714285714285714,0,0,0,0.172413793103448
12,19,Ctrl,F,10-1,10,31,26.5,1,0,0.0625,0.25,0,0,0,0,0.0344827586206897
13,19,Ctrl,F,10-2,10,32,30.1,1,0.1,0.0625,0.25,0.142857142857143,0,0,0,0.0862068965517241
14,19,Ctrl,F,10-3,10,32,26.3,1,0.1,0.1875,0.5,0.0714285714285714,0.25,0,0.25,0.172413793103448
15,19,Ctrl,F,13-1,13,32,24.6,1,0,0.0625,0,0,0,0,0,0.0172413793103448
16,19,Ctrl,F,13-2,13,32,30.1,1,0,0.125,0,0,0,0,0,0.0344827586206897
17,19,Ctrl,F,13-3,13,32,29.1,1,0,0.0625,0.25,0,0,0,0,0.0344827586206897
18,19,Fuc.,F,19-1,19,32,30.2,1,0.3,0.0625,0,0,0.125,0,0,0.0862068965517241
19,19,Fuc.,F,19-2,19,32,26.1,1,0.4,0.125,0.25,0,0,0,0,0.120689655172414
20,19,Fuc.,F,19-3,19,32,31.6,0.5,0.3,0.0625,0,0,0,0,0,0.0689655172413793
21,19,Fuc.,F,19-4,19,32,23.9,1,0.3,0.0625,0,0,0,0,0,0.0689655172413793
22,19,Fuc.,F,20-1,20,32,33.7,0,0,0,0,0.142857142857143,0,0,0,0.0344827586206897
23,19,Fuc.,F,20-2,20,30,29.2,1,0,0.0625,0.5,0.142857142857143,0,0,0,0.0862068965517241
24,19,Fuc.,F,20-3,20,31,20.3,1,0,0,0,0.0714285714285714,0,0,0,0.0172413793103448
25,19,Fuc.,F,20-4,20,32,20.4,1,0,0,0,0,0,0,0,0
26,19,Fuc.,F,21-1,21,32,29.9,1,0,0.0625,0,0,0,0,0,0.0172413793103448
27,19,Fuc.,F,21-2,21,32,30,1,0,0,0,0,0,0,0,0
28,19,Fuc.,F,21-3,21,32,31.1,0.5,0.3,0.0625,0,0,0,0,0,0.0689655172413793
29,19,Fuc.,F,21-4,21,31,29.3,1,0.4,0,0,0,0,0,0,0.0689655172413793
30,19,Fuc.,F,22-1,22,30,29.7,1,0.2,0.0625,0,0.142857142857143,0,0,0,0.0862068965517241
31,19,Fuc.,F,22-2,22,32,30.4,1,0.3,0.0625,0,0,0,0,0,0.0689655172413793
32,19,Fuc.,F,22-3,22,31,31.5,0.5,0.2,0.0625,0.25,0.142857142857143,0,0,0,0.103448275862069
33,19,Fuc.,F,22-4,22,32,33.9,0,0.2,0,0,0,0,0,0,0.0344827586206897
34,19,Fuc.,F,23-1,23,31,29.2,1,0,0,0,0.142857142857143,0,0,0,0.0344827586206897
35,19,Fuc.,F,23-2,23,32,35.6,0.5,0,0.125,0,0.0714285714285714,0,0,0,0.0517241379310345
36,19,Fuc.,F,24-1,24,32,29.4,1,0.2,0.0625,0.25,0.0714285714285714,0,0,0.25,0.103448275862069
37,19,Fuc.,F,24-2,24,32,28.4,1,0,0,0.25,0.142857142857143,0,0,0,0.0517241379310345
38,19,Fuc.,F,24-3,24,32,30.2,1,0,0.0625,0,0,0,0,0,0.0172413793103448
39,19,Fuc.,F,24-4,24,31,28.2,1,0,0.0625,0,0.0714285714285714,0,0,0,0.0344827586206897
40,19,Ctrl,M,3-1,3,31,32.1,1,0.2,0.125,0.5,0.0714285714285714,0,0,0.25,0.137931034482759
41,19,Ctrl,M,3-2,3,31,36.9,0.5,0.3,0.3125,0.5,0.214285714285714,0,0,0.25,0.241379310344828
42,19,Ctrl,M,3-3,3,32,33,1,0.3,0.125,0.25,0,0,0,0.25,0.120689655172414
43,19,Ctrl,M,4-1,4,31,36.6,0.5,0.1,0.0625,0.25,0.214285714285714,0,0,0,0.103448275862069
44,19,Ctrl,M,4-2,4,31,33.2,1,0.1,0.0625,0,0,0,0.5,0,0.0517241379310345
45,19,Ctrl,M,4-3,4,31,34.7,1,0.1,0.0625,0.75,0.142857142857143,0,0,0,0.120689655172414
46,19,Ctrl,M,5-1,5,31,37.8,0.25,0,0.125,0.5,0.214285714285714,0,0,0,0.120689655172414
47,19,Ctrl,M,5-2,5,31,35.3,1,0,0.125,0.25,0.0714285714285714,0,0,0,0.0689655172413793
48,19,Ctrl,M,6-1,6,32,34.2,1,0.1,0.125,0.5,0,0,0,0.25,0.103448275862069
49,19,Ctrl,M,6-2,6,32,30.2,1,0.1,0.125,0.5,0.0714285714285714,0,0,0,0.103448275862069
50,19,Ctrl,M,6-3,6,31,31.6,1,0.1,0.0625,0.5,0,0,0,0,0.0689655172413793
51,19,Ctrl,M,7-1,7,30,26.7,1,0.8,0.625,0.75,0.0714285714285714,0.125,0,0.75,0.448275862068965
52,19,Ctrl,M,7-2,7,32,31.8,1,0.2,0.25,0.25,0.142857142857143,0,0,0.25,0.172413793103448
53,19,Ctrl,M,7-3,7,31,35.5,1,0.2,0.25,0.5,0.0714285714285714,0.25,0,0.25,0.206896551724138
54,19,Fuc.,M,11-1,11,31,37.1,0.5,0,0.0625,0.25,0,0,0,0,0.0344827586206897
55,19,Fuc.,M,11-2,11,31,31.8,1,0,0.0625,0,0,0,0,0,0.0172413793103448
56,19,Fuc.,M,11-3,11,31,31.3,1,0.1,0,0,0,0,0,0,0.0172413793103448
57,19,Fuc.,M,12-1,12,31,36.2,1,0.1,0.0625,0.25,0.0714285714285714,0,0,0,0.0689655172413793
58,19,Fuc.,M,12-2,12,32,30.8,1,0.1,0.0625,0.25,0.142857142857143,0,0,0,0.0862068965517241
59,19,Fuc.,M,12-3,12,32,39,0,0.1,0.125,0,0,0,0,0,0.0517241379310345
