Month,Diet,Sex,AnimalID,Temperature,Weight,WeightScore,Integument,PhysicalMusculoskeletal,VestibulocochlearAuditory,OcularNasal,DigestiveUrogenital,Respiratory ,Discomfort
19,Ctrl,F,1-1,32.00,31.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00
19,Ctrl,F,1-2,32.00,33.40,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00
19,Ctrl,F,1-3,32.00,29.50,1.00,0.00,1.00,0.50,2.50,0.00,0.00,0.50
19,Ctrl,F,1-4,31.00,28.30,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
19,Ctrl,F,2-1,31.00,30.00,1.00,0.00,2.00,0.00,1.50,0.00,0.00,0.00
19,Ctrl,F,2-2,32.00,30.10,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
19,Ctrl,F,2-3,31.00,29.10,1.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00
19,Ctrl,F,2-4,32.00,31.60,1.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00
19,Ctrl,F,9-1,32.00,28.10,1.00,1.50,1.00,1.50,0.50,0.00,0.00,0.00
19,Ctrl,F,9-2,32.00,27.10,1.00,2.50,1.00,0.50,0.50,0.00,0.00,0.00
19,Ctrl,F,9-3,32.00,30.10,1.00,2.50,2.00,0.00,0.50,0.00,0.00,0.00
19,Ctrl,F,10-1,31.00,26.50,1.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00
19,Ctrl,F,10-2,32.00,30.10,1.00,0.50,0.50,0.50,1.00,0.00,0.00,0.00
19,Ctrl,F,10-3,32.00,26.30,1.00,0.50,1.50,1.00,0.50,1.00,0.00,0.50
19,Ctrl,F,13-1,32.00,24.60,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
19,Ctrl,F,13-2,32.00,30.10,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
19,Ctrl,F,13-3,32.00,29.10,1.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00
19,Fuc.,F,19-1,32.00,30.20,1.00,1.50,0.50,0.00,0.00,0.50,0.00,0.00
19,Fuc.,F,19-2,32.00,26.10,1.00,2.00,1.00,0.50,0.00,0.00,0.00,0.00
19,Fuc.,F,19-3,32.00,31.60,0.50,1.50,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,19-4,32.00,23.90,1.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,20-1,32.00,33.70,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
19,Fuc.,F,20-2,30.00,29.20,1.00,0.00,0.50,1.00,1.00,0.00,0.00,0.00
19,Fuc.,F,20-3,31.00,20.30,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
19,Fuc.,F,20-4,32.00,20.40,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,21-1,32.00,29.90,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,21-2,32.00,30.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,21-3,32.00,31.10,0.50,1.50,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,21-4,31.00,29.30,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,22-1,30.00,29.70,1.00,1.00,0.50,0.00,1.00,0.00,0.00,0.00
19,Fuc.,F,22-2,32.00,30.40,1.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,22-3,31.00,31.50,0.50,1.00,0.50,0.50,1.00,0.00,0.00,0.00
19,Fuc.,F,22-4,32.00,33.90,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,23-1,31.00,29.20,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
19,Fuc.,F,23-2,32.00,35.60,0.50,0.00,1.00,0.00,0.50,0.00,0.00,0.00
19,Fuc.,F,24-1,32.00,29.40,1.00,1.00,0.50,0.50,0.50,0.00,0.00,0.50
19,Fuc.,F,24-2,32.00,28.40,1.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00
19,Fuc.,F,24-3,32.00,30.20,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,F,24-4,31.00,28.20,1.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00
19,Ctrl,M,3-1,31.00,32.10,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.50
19,Ctrl,M,3-2,31.00,36.90,0.50,1.50,2.50,1.00,1.50,0.00,0.00,0.50
19,Ctrl,M,3-3,32.00,33.00,1.00,1.50,1.00,0.50,0.00,0.00,0.00,0.50
19,Ctrl,M,4-1,31.00,36.60,0.50,0.50,0.50,0.50,1.50,0.00,0.00,0.00
19,Ctrl,M,4-2,31.00,33.20,1.00,0.50,0.50,0.00,0.00,0.00,0.50,0.00
19,Ctrl,M,4-3,31.00,34.70,1.00,0.50,0.50,1.50,1.00,0.00,0.00,0.00
19,Ctrl,M,5-1,31.00,37.80,0.25,0.00,1.00,1.00,1.50,0.00,0.00,0.00
19,Ctrl,M,5-2,31.00,35.30,1.00,0.00,1.00,0.50,0.50,0.00,0.00,0.00
19,Ctrl,M,6-1,32.00,34.20,1.00,0.50,1.00,1.00,0.00,0.00,0.00,0.50
19,Ctrl,M,6-2,32.00,30.20,1.00,0.50,1.00,1.00,0.50,0.00,0.00,0.00
19,Ctrl,M,6-3,31.00,31.60,1.00,0.50,0.50,1.00,0.00,0.00,0.00,0.00
19,Ctrl,M,7-1,30.00,26.70,1.00,4.00,5.00,1.50,0.50,0.50,0.00,1.50
19,Ctrl,M,7-2,32.00,31.80,1.00,1.00,2.00,0.50,1.00,0.00,0.00,0.50
19,Ctrl,M,7-3,31.00,35.50,1.00,1.00,2.00,1.00,0.50,1.00,0.00,0.50
19,Fuc.,M,11-1,31.00,37.10,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00
19,Fuc.,M,11-2,31.00,31.80,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
19,Fuc.,M,11-3,31.00,31.30,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,M,12-1,31.00,36.20,1.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00
19,Fuc.,M,12-2,32.00,30.80,1.00,0.50,0.50,0.50,1.00,0.00,0.00,0.00
19,Fuc.,M,12-3,32.00,39.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00
19,Fuc.,M,14-1,31.00,47.90,1.00,1.50,1.50,0.50,1.00,0.00,0.00,0.50
19,Fuc.,M,14-2,31.00,33.20,1.00,0.50,1.00,0.50,0.50,0.00,0.00,0.00
19,Fuc.,M,14-3,31.00,36.20,1.00,0.00,1.00,1.00,3.00,0.00,0.00,0.00
