MouseID	Birth	Death	Diet	Sex	Note
7-3	11-Aug-2020	25-Feb-2022	Ctrl	M
7-2	11-Aug-2020	25-Mar-2022	Ctrl	M
7-1	11-Aug-2020	19-Apr-2022	Ctrl	M
6-2	11-Aug-2020	6-May-2022	Ctrl	M
3-1	11-Aug-2020	3-Nov-2022	Ctrl	M
3-2	11-Aug-2020	14-Oct-2022	Ctrl	M
3-3	11-Aug-2020	27-Jun-2022	Ctrl	M
4-1	27-Aug-2020	12-Jan-2023	Ctrl	M
4-2	27-Aug-2020	17-Feb-2023	Ctrl	M
4-3	27-Aug-2020	3-Mar-2023	Ctrl	M
5-1	11-Aug-2020	3-Jun-2023	Ctrl	M
5-2	11-Aug-2020	4-Apr-2023	Ctrl	M
5-3	11-Aug-2020	19-Jan-2022	Ctrl	M
6-1	11-Aug-2020	11-Aug-2022	Ctrl	M
6-3	11-Aug-2020	4-Jan-2023	Ctrl	M
17-1	11-Aug-2020	18-Jun-2022	Fuco	M
11-1	27-Aug-2020	3-Feb-2023	Fuco	M
11-2	27-Aug-2020	5-May-2023	Fuco	M
11-3	27-Aug-2020	15-Sep-2022	Fuco	M
12-1	11-Aug-2020	4-Jan-2023	Fuco	M
12-2	11-Aug-2020	22-Jul-2022	Fuco	M
12-3	11-Aug-2020	15-Jul-2022	Fuco	M
14-1	11-Aug-2020	16-Feb-2023	Fuco	M
14-2	11-Aug-2020	26-May-2023	Fuco	M
14-3	11-Aug-2020	17-Aug-2023	Fuco	M
15-1	27-Aug-2020	6-Apr-2023	Fuco	M
15-2	27-Aug-2020	4-Apr-2023	Fuco	M
15-3	27-Aug-2020	4-Apr-2023	Fuco	M
15-4	27-Aug-2020	14-Nov-2022	Fuco	M
16-1	11-Aug-2020	18-Nov-2022	Fuco	M
16-2	11-Aug-2020	24-Oct-2023	Fuco	M
16-3	11-Aug-2020	2-Mar-2023	Fuco	M	"Originally had typo as 20-Mar-2023"
17-2	11-Aug-2020	9-Feb-2023	Fuco	M
17-3	11-Aug-2020	2-Feb-2023	Fuco	M
18-1	11-Aug-2020	14-Nov-2022	Fuco	M
18-2	11-Aug-2020	12-Feb-2023	Fuco	M
18-3	11-Aug-2020	10-Apr-2023	Fuco	M
1-4	15-Sep-2020	20-Apr-2022	Ctrl	F
1-3	15-Sep-2020	20-May-2022	Ctrl	F
13-2	27-Aug-2020	1-May-2022	Ctrl	F
1-1	15-Sep-2020	28-Jul-2022	Ctrl	F
1-2	15-Sep-2020	15-Mar-2023	Ctrl	F
2-1	15-Sep-2020	29-Nov-2022	Ctrl	F
2-2	15-Sep-2020	9-Feb-2023	Ctrl	F
2-3	15-Sep-2020	13-Jul-2023	Ctrl	F
2-4	15-Sep-2020	22-Nov-2022	Ctrl	F
9-1	15-Sep-2020	3-Nov-2022	Ctrl	F
9-2	15-Sep-2020	8-Dec-2022	Ctrl	F
9-3	15-Sep-2020	7-Dec-2022	Ctrl	F
9-4	15-Sep-2020	5-Nov-2022	Ctrl	F
10-1	27-Aug-2020	4-Jan-2023	Ctrl	F	"DoD originally swapped with 10-3"
10-2	27-Aug-2020	24-Nov-2022	Ctrl	F
10-3	27-Aug-2020	12-Dec-2022	Ctrl	F	"DoD originally swapped with 10-1"
13-1	27-Aug-2020	21-Sep-2022	Ctrl	F
13-3	27-Aug-2020	23-Dec-2022	Ctrl	F
22-3	15-Sep-2020	20-Apr-2022	Fuco	F
20-1	15-Sep-2020	2-Sep-2022	Fuco	F
20-2	15-Sep-2020	30-Aug-2022	Fuco	F
20-3	15-Sep-2020	19-Jan-2023	Fuco	F
20-4	15-Sep-2020	6-May-2023	Fuco	F
21-1	15-Sep-2020	29-Dec-2022	Fuco	F
21-2	15-Sep-2020	24-Aug-2022	Fuco	F
21-3	15-Sep-2020	28-Dec-2022	Fuco	F
21-4	15-Sep-2020	9-Feb-2023	Fuco	F
22-1	15-Sep-2020	24-Jan-2023	Fuco	F
22-2	15-Sep-2020	11-May-2023	Fuco	F
22-4	15-Sep-2020	4-Jan-2023	Fuco	F
23-1	15-Sep-2020	11-Sep-2022	Fuco	F
23-2	15-Sep-2020	27-Jan-2023	Fuco	F
24-1	27-Aug-2020	27-Mar-2023	Fuco	F
24-2	27-Aug-2020	11-Dec-2022	Fuco	F
24-3	27-Aug-2020	24-Nov-2022	Fuco	F
24-4	27-Aug-2020	21-Apr-2023	Fuco	F
19-1	15-Sep-2020	28-Dec-2022	Fuco	F
19-2	15-Sep-2020	27-Sep-2022	Fuco	F
19-3	15-Sep-2020	4-Apr-2023	Fuco	F
19-4	15-Sep-2020	17-Mar-2023	Fuco	F
