Birth	Death	Diet	Sex
2025-07-14	2025-08-12	Ctrl	M
2025-08-15	2025-09-17	Ctrl	M
2025-10-10	2025-11-13	Ctrl	M
2025-05-13	2025-06-13	Fuco	M
2025-05-22	2025-08-06	Fuco	M
2025-06-13	2025-08-01	Fuco	M
2025-10-23	2025-11-26	Fuco	M
2025-11-02	2025-12-11	Fuco	M
2025-07-09	2025-08-20	Ctrl	F
2025-07-09	2025-08-27	Ctrl	F
2025-07-09	2025-08-27	Ctrl	F
2025-10-23	2025-11-29	Fuco	F
2025-11-02	2025-12-11	Fuco	F
2025-05-22	2025-07-04	Fuco	F
2025-05-22	2025-07-04	Fuco	F
2025-06-03	2025-07-15	Ctrl	M
2025-06-03	2025-07-18	Ctrl	M
2025-06-03	2025-07-23	Ctrl	M
2025-09-02	2025-10-10	Ctrl	M
2025-09-18	2025-10-17	Ctrl	M
2025-11-19	2025-12-28	Ctrl	M
2025-11-19	2025-12-30	Ctrl	M
2025-08-07	2025-09-04	Fuco	M
2025-09-04	2025-10-16	Fuco	M
2025-11-06	2025-12-08	Fuco	M
2025-11-07	2025-12-05	Fuco	M
2025-11-07	2025-12-08	Fuco	M
2025-11-10	2025-12-02	Fuco	M
2025-05-27	2025-06-27	Ctrl	F
2025-05-27	2025-07-01	Ctrl	F
2025-07-30	2025-08-13	Ctrl	F
2025-09-02	2025-10-10	Ctrl	F
2025-11-02	2025-12-01	Ctrl	F
2025-11-13	2025-12-26	Ctrl	F
2025-09-04	2025-10-12	Fuco	F
2025-09-04	2025-10-12	Fuco	F
2025-09-04	2025-10-16	Fuco	F
2025-11-07	2025-12-05	Fuco	F
2025-11-07	2025-12-08	Fuco	F
2025-11-07	2025-12-08	Fuco	F
2025-11-14	2025-12-15	Fuco	F
2025-11-14	2025-12-15	Fuco	F
23-02-21	23-04-26	Ctrl	Unknown
23-02-21	23-04-26	Ctrl	Unknown
23-03-08	23-04-26	Fuco	Unknown
23-03-08	23-04-26	Fuco	Unknown
23-03-08	23-04-25	Fuco	Unknown
23-04-11	23-05-09	Fuco	Unknown
23-04-25	23-05-25	Fuco	Unknown
23-04-25	23-05-25	Fuco	Unknown
23-01-20	23-02-15	Ctrl	Unknown
23-01-20	23-02-10	Ctrl	Unknown
23-02-21	23-03-10	Ctrl	Unknown
23-02-21	23-03-11	Ctrl	Unknown
23-01-10	23-01-13	Fuco	Unknown
23-01-10	23-01-12	Fuco	Unknown
23-01-20	23-01-29	Ctrl	Unknown
23-02-25	23-03-02	Ctrl	Unknown
23-05-25	23-06-26	Fuco	Unknown
23-05-25	23-06-26	Fuco	Unknown
23-05-25	23-07-13	Ctrl	Unknown
23-05-25	23-07-13	Ctrl	Unknown
23-05-25	23-07-13	Ctrl	Unknown
23-05-25	23-07-13	Ctrl	Unknown
24-05-14	24-06-09	Fuco	Unknown
24-05-15	24-06-10	Ctrl	Unknown
24-05-13	24-06-09	Ctrl	Unknown
