"Sample Name","Sample ID","Conc. Source (RNA)","Concentration (ng/µl)","RQN Source","RQN","A260/230 ratio","A260/280 ratio","28s/18s ratio","Trace Image"
"1-2","GOR4689A30","Fragment Analyzer (RNA)","184.0064","Fragment Analyzer (RNA)","5.2","2.081","2.057","0.8",""
"10-1","GOR4689A69","Fragment Analyzer (RNA)","4.6748","Fragment Analyzer (RNA)","3.1","1.018","1.647","0.9",""
"10-2","GOR4689A25","Fragment Analyzer (RNA)","7.5798","Fragment Analyzer (RNA)","1.3","1.091","1.882","0",""
"10-3","GOR4689A27","Fragment Analyzer (RNA)","13.477","Fragment Analyzer (RNA)","3.4","1.46","1.983","0.7",""
"11-2","GOR4689A19","Fragment Analyzer (RNA)","5.9855","Fragment Analyzer (RNA)","1.4","1.383","2.103","0",""
"11-3","GOR4689A21","Fragment Analyzer (RNA)","21.8007","Fragment Analyzer (RNA)","2.4","1.074","2.054","0.5",""
"12-1","GOR4689A72","Fragment Analyzer (RNA)","8.2758","Fragment Analyzer (RNA)","1.6","1.303","1.854","0",""
"14-1","GOR4689A17","Fragment Analyzer (RNA)","10.4147","Fragment Analyzer (RNA)","1.2","1.262","2.123","0",""
"14-2","GOR4689A22","Fragment Analyzer (RNA)","5.0898","Fragment Analyzer (RNA)","2","0.413","2.059","0",""
"14-3","GOR4689A53","Fragment Analyzer (RNA)","12.4281","Fragment Analyzer (RNA)","2","0.853","1.84","0",""
"15-2","GOR4689A14","Fragment Analyzer (RNA)","18.249","Fragment Analyzer (RNA)","3.3","1.389","2.041","0.6",""
"15-3","GOR4689A23","Fragment Analyzer (RNA)","7.1446","Fragment Analyzer (RNA)","3.7","0.682","1.764","0.9",""
"15-4","GOR4689A15","Fragment Analyzer (RNA)","3.0148","Fragment Analyzer (RNA)","2.4","0.677","2.032","0.5",""
"16-3","GOR4689A18","Fragment Analyzer (RNA)","13.2902","Fragment Analyzer (RNA)","4.5","1.221","2.082","0.6",""
"17-2","GOR4689A59","Fragment Analyzer (RNA)","12.7141","Fragment Analyzer (RNA)","2.1","0.439","2.024","0.8",""
"17-3","GOR4689A20","Fragment Analyzer (RNA)","10.2168","Fragment Analyzer (RNA)","1.6","1.116","1.949","0.8",""
"18-3","GOR4689A58","Fragment Analyzer (RNA)","7.3866","Fragment Analyzer (RNA)","1.2","0.795","1.921","0",""
"2-1","GOR4689A28","Fragment Analyzer (RNA)","7.8382","Fragment Analyzer (RNA)","3.4","0.981","1.881","0.7",""
"2-2","GOR4689A29","Fragment Analyzer (RNA)","12.2505","Fragment Analyzer (RNA)","2.6","0.481","1.913","1.6",""
"2-3","GOR4689A68","Fragment Analyzer (RNA)","10.578","Fragment Analyzer (RNA)","2.2","0.091","2.061","0.5",""
"2-4","GOR4689A65","Fragment Analyzer (RNA)","48.7726","Fragment Analyzer (RNA)","4","0.423","2.042","0.3",""
"20-1","GOR4689A39","Fragment Analyzer (RNA)","198.5748","Fragment Analyzer (RNA)","2","0.315","2.108","0.4",""
"20-2","GOR4689A62","Fragment Analyzer (RNA)","22.2491","Fragment Analyzer (RNA)","3.2","1.084","2.03","0.6",""
"21-1","GOR4689A42","Fragment Analyzer (RNA)","25.9651","Fragment Analyzer (RNA)","6.4","0.124","2.121","0.9",""
"21-2","GOR4689A41","Fragment Analyzer (RNA)","14.03","Fragment Analyzer (RNA)","1.1","0.307","2.04","0",""
"21-3","GOR4689A40","Fragment Analyzer (RNA)","27.9373","Fragment Analyzer (RNA)","2.8","0.667","2.136","0.7",""
"22-2","GOR4689A71","Fragment Analyzer (RNA)","24.2643","Fragment Analyzer (RNA)","2.6","1.307","2.009","0.2",""
"22-4","GOR4689A33","Fragment Analyzer (RNA)","15.0833","Fragment Analyzer (RNA)","2.1","1.456","2.007","0.4",""
"24-2","GOR4689A70","Fragment Analyzer (RNA)","7.7322","Fragment Analyzer (RNA)","1.4","0.717","1.747","0",""
"24-4","GOR4689A43","Fragment Analyzer (RNA)","20.6904","Fragment Analyzer (RNA)","3","0.735","2.047","0.3",""
"3-2","GOR4689A9","Fragment Analyzer (RNA)","11.8015","Fragment Analyzer (RNA)","1.1","1.4","2.18","0",""
"3-3","GOR4689A6","Fragment Analyzer (RNA)","15.7218","Fragment Analyzer (RNA)","2.7","0.335","2.178","0.8",""
"4-1","GOR4689A56","Fragment Analyzer (RNA)","148.3748","Fragment Analyzer (RNA)","4.8","1.721","2.073","0.4",""
"4-3","GOR4689A7","Fragment Analyzer (RNA)","22.207","Fragment Analyzer (RNA)","2.3","1.477","2.11","0.5",""
"5-1","GOR4689A10","Fragment Analyzer (RNA)","11.7746","Fragment Analyzer (RNA)","2.6","1.228","2.277","0.9",""
"5-2","GOR4689A8","Fragment Analyzer (RNA)","34.6779","Fragment Analyzer (RNA)","4.9","1.897","2.116","0.7",""
"9-2","GOR4689A26","Fragment Analyzer (RNA)","10.2138","Fragment Analyzer (RNA)","1.3","1.232","1.942","0",""
