"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Gnai3","Gnai3",-0.010165759555486,0.951778599977306,0.999813034205243,FALSE,FALSE,"Not sig."
"Cdc45","Cdc45",0.479023474304982,0.165122401123736,0.999813034205243,FALSE,FALSE,"Not sig."
"Apoh","Apoh",-0.170485533442557,0.532144335140339,0.999813034205243,FALSE,FALSE,"Not sig."
"Narf","Narf",-0.132146991154312,0.670872122684638,0.999813034205243,FALSE,FALSE,"Not sig."
"Klf6","Klf6",0.212275267317923,0.190408354142523,0.999813034205243,FALSE,FALSE,"Not sig."
"Scmh1","Scmh1",-0.0416346034704331,0.833237827269926,0.999813034205243,FALSE,FALSE,"Not sig."
"Cox5a","Cox5a",-0.260318563068095,0.444410211914448,0.999813034205243,FALSE,FALSE,"Not sig."
"Tbx2","Tbx2",0.813643194142041,0.0710250058147668,0.999813034205243,FALSE,FALSE,"Not sig."
"Ngfr","Ngfr",0.0540785412619673,0.904267126999674,0.999813034205243,FALSE,FALSE,"Not sig."
"Wnt3","Wnt3",0.607436706998834,0.18684384488353,0.999813034205243,FALSE,FALSE,"Not sig."
"Fer","Fer",-0.266734758898733,0.333417768539407,0.999813034205243,FALSE,FALSE,"Not sig."
"Xpo6","Xpo6",0.021761464668242,0.907969691466969,0.999813034205243,FALSE,FALSE,"Not sig."
"Tfe3","Tfe3",0.221836535848959,0.375396872867748,0.999813034205243,FALSE,FALSE,"Not sig."
"Axin2","Axin2",-0.095343202420012,0.825638550307745,0.999813034205243,FALSE,FALSE,"Not sig."
"Brat1","Brat1",-0.33856549830015,0.182156070433819,0.999813034205243,FALSE,FALSE,"Not sig."
"Gna12","Gna12",-0.127871695379145,0.561393986078507,0.999813034205243,FALSE,FALSE,"Not sig."
"Dlat","Dlat",-0.10827912444006,0.566145753396514,0.999813034205243,FALSE,FALSE,"Not sig."
"Sdhd","Sdhd",-0.00641052041954326,0.978618673245173,0.999813034205243,FALSE,FALSE,"Not sig."
"Ccnd2","Ccnd2",0.379345529692901,0.275353362521719,0.999813034205243,FALSE,FALSE,"Not sig."
"Gpr107","Gpr107",-0.194579043567336,0.164248341593428,0.999813034205243,FALSE,FALSE,"Not sig."
"Slfn4","Slfn4",0.398857592848568,0.406158204034849,0.999813034205243,FALSE,FALSE,"Not sig."
"Tspan32","Tspan32",-0.426359782587627,0.165380133442263,0.999813034205243,FALSE,FALSE,"Not sig."
"Clec2g","Clec2g",0.0935746399018629,0.849440492060684,0.999813034205243,FALSE,FALSE,"Not sig."
"Gmpr","Gmpr",-0.30431286038507,0.398904385508879,0.999813034205243,FALSE,FALSE,"Not sig."
"Trim25","Trim25",-0.136691169983004,0.445754753761381,0.999813034205243,FALSE,FALSE,"Not sig."
"Dgke","Dgke",0.0489136787396486,0.850248005991645,0.999813034205243,FALSE,FALSE,"Not sig."
"Scpep1","Scpep1",0.139432570263779,0.478002979133678,0.999813034205243,FALSE,FALSE,"Not sig."
"Mnt","Mnt",0.250441189542855,0.210027751983502,0.999813034205243,FALSE,FALSE,"Not sig."
"Itgb2","Itgb2",-0.135866857628268,0.629120995637512,0.999813034205243,FALSE,FALSE,"Not sig."
"Hddc2","Hddc2",-0.264481712084287,0.293755440280544,0.999813034205243,FALSE,FALSE,"Not sig."
"Cdh1","Cdh1",-0.1109783357198,0.818586716011989,0.999813034205243,FALSE,FALSE,"Not sig."
"Clec10a","Clec10a",-0.0314475560540195,0.942618131754057,0.999813034205243,FALSE,FALSE,"Not sig."
"Alox12","Alox12",-0.324943465756963,0.391916191275412,0.999813034205243,FALSE,FALSE,"Not sig."
