"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Gnai3","Gnai3",-0.0729631120951073,0.654581797585186,0.757850998975598,FALSE,FALSE,"Not sig."
"Cdc45","Cdc45",0.346114418994612,0.224428699099269,0.364388115538456,FALSE,FALSE,"Not sig."
"Apoh","Apoh",-0.387390424777033,0.156907816421094,0.283600199952227,FALSE,FALSE,"Not sig."
"Narf","Narf",-1.41400110806663,1.32115559397767e-07,5.67780190028281e-06,FALSE,TRUE,"Down"
"Klf6","Klf6",0.176620085405543,0.274531260452397,0.418296841599943,FALSE,FALSE,"Not sig."
"Scmh1","Scmh1",-0.00940316072235509,0.9487977681185,0.967375949960924,FALSE,FALSE,"Not sig."
"Cox5a","Cox5a",-1.192422620718,6.5216706004598e-05,0.000734653899148744,FALSE,TRUE,"Down"
"Tbx2","Tbx2",0.0573350685951446,0.864497574305099,0.913350720429797,FALSE,FALSE,"Not sig."
"Ngfr","Ngfr",0.322040445778552,0.416204651256908,0.556639898606303,FALSE,FALSE,"Not sig."
"Wnt3","Wnt3",0.482537472074008,0.290526472399796,0.435276781249128,FALSE,FALSE,"Not sig."
"Fer","Fer",-0.726057417181235,0.00432511660648177,0.0221624696997712,FALSE,TRUE,"Down"
"Xpo6","Xpo6",0.416762943001001,0.00626032944686004,0.0295452704883967,TRUE,FALSE,"Up"
"Tfe3","Tfe3",0.0626816729364818,0.768269840289879,0.8455860827576,FALSE,FALSE,"Not sig."
"Axin2","Axin2",-0.0210093450831255,0.935918375519157,0.957746040478668,FALSE,FALSE,"Not sig."
"Brat1","Brat1",-0.00400221271609642,0.983955027964963,0.99018858427685,FALSE,FALSE,"Not sig."
"Gna12","Gna12",-0.712064117941296,4.92123594757432e-05,0.00058429640495526,FALSE,TRUE,"Down"
"Dlat","Dlat",0.158111602900831,0.397015816788522,0.539135535643237,FALSE,FALSE,"Not sig."
"Sdhd","Sdhd",-0.472507934159323,0.078327371951475,0.176671466095769,FALSE,FALSE,"Not sig."
"Ccnd2","Ccnd2",0.202896431798503,0.366864941101577,0.511167052362772,FALSE,FALSE,"Not sig."
"Gpr107","Gpr107",0.166555336896707,0.20106010962482,0.336773774895719,FALSE,FALSE,"Not sig."
"Slfn4","Slfn4",-0.161709325755116,0.730984631701776,0.817860747434521,FALSE,FALSE,"Not sig."
"Tspan32","Tspan32",0.239677952151215,0.428937936247578,0.567859706928036,FALSE,FALSE,"Not sig."
"Clec2g","Clec2g",1.00063115218193,0.0074685963037897,0.0338552845173808,TRUE,FALSE,"Up"
"Gmpr","Gmpr",-1.28086488527755,2.40473281060454e-05,0.000321373717148843,FALSE,TRUE,"Down"
"Trim25","Trim25",0.316730165143296,0.0261012823611237,0.0829858100708746,FALSE,FALSE,"Not sig."
"Dgke","Dgke",0.653678237855644,0.00829142855926855,0.0364317706548533,TRUE,FALSE,"Up"
"Scpep1","Scpep1",0.15906316991947,0.376761160329237,0.520358331605942,FALSE,FALSE,"Not sig."
"Mnt","Mnt",0.375470295424494,0.0466864010099994,0.124636637089024,FALSE,FALSE,"Not sig."
"Itgb2","Itgb2",-0.832149643110568,0.000779022541383991,0.00570026464829604,FALSE,TRUE,"Down"
"Hddc2","Hddc2",0.646162036510605,0.0407887684661449,0.113561046074342,FALSE,FALSE,"Not sig."
"Cdh1","Cdh1",-0.0278345722292817,0.920487065321482,0.9476734910755,FALSE,FALSE,"Not sig."
"Clec10a","Clec10a",-0.365869348886149,0.254337871675988,0.397025245884062,FALSE,FALSE,"Not sig."
"Alox12","Alox12",-1.44883022808355,3.83833134965252e-06,7.51438691213564e-05,FALSE,TRUE,"Down"
"Comt","Comt",-0.726141665043111,0.00784114774483466,0.0349178719126793,FALSE,TRUE,"Down"
"Rtca","Rtca",0.0276168007043776,0.879945947248976,0.922278601188291,FALSE,FALSE,"Not sig."
"Dbt","Dbt",-0.0181170984182491,0.958651210519429,0.973704090716983,FALSE,FALSE,"Not sig."
"Dazap2","Dazap2",-1.58150961777846,1.98539979809674e-05,0.000275911207821882,FALSE,TRUE,"Down"
"Mcts1","Mcts1",0.316499383990096,0.358356822830654,0.503134903748252,FALSE,FALSE,"Not sig."
"Rem1","Rem1",-0.488675378104468,0.323031880537697,0.469616203529606,FALSE,FALSE,"Not sig."
"Rnf17","Rnf17",-0.782195318153893,0.0857267294967799,0.187321039257373,FALSE,FALSE,"Not sig."
"Trappc10","Trappc10",-0.385398470275637,0.0171635879262424,0.0613984791580434,FALSE,FALSE,"Not sig."
"Ccm2","Ccm2",0.506538962490402,0.0190882689240487,0.0663542068498304,FALSE,FALSE,"Not sig."
"Tbrg4","Tbrg4",0.47391587151942,0.0208097378280471,0.070445481522569,FALSE,FALSE,"Not sig."
"Tmprss2","Tmprss2",0.216918976548722,0.657562545396785,0.76066713152189,FALSE,FALSE,"Not sig."
"Mx1","Mx1",0.0360951244346294,0.911433382534787,0.943186968265643,FALSE,FALSE,"Not sig."
"Fap","Fap",-0.185402455671582,0.709325674762593,0.801488194903276,FALSE,FALSE,"Not sig."
"Ndufa9","Ndufa9",0.297231088172536,0.239723427016677,0.380714411771637,FALSE,FALSE,"Not sig."
"Lck","Lck",0.319168440539181,0.164560577482982,0.292834754230564,FALSE,FALSE,"Not sig."
"Galnt1","Galnt1",-1.92107476824002,3.07678920099039e-08,1.96992998383818e-06,FALSE,TRUE,"Down"
"Mkrn2","Mkrn2",0.378511410616988,0.0104865942328223,0.0432597866626188,TRUE,FALSE,"Up"
"Pparg","Pparg",0.703864137129295,0.0373648911476679,0.106857798316337,FALSE,FALSE,"Not sig."
"Raf1","Raf1",0.42766043375759,0.0166432526192729,0.0601891000343676,FALSE,FALSE,"Not sig."
"Septin1","Septin1",-0.805859933312506,5.13293041291781e-05,0.00060425087947191,FALSE,TRUE,"Down"
"Pdgfb","Pdgfb",0.405795334668366,0.20611539079692,0.342906275899581,FALSE,FALSE,"Not sig."
"Acvrl1","Acvrl1",-0.105825713115285,0.791147061279289,0.862488443401424,FALSE,FALSE,"Not sig."
"Tamalin","Tamalin",0.729984558698178,0.098665524767241,0.205536797859248,FALSE,FALSE,"Not sig."
"Acvr1b","Acvr1b",0.187127705433719,0.33130755427905,0.47760809863846,FALSE,FALSE,"Not sig."
"Tom1l2","Tom1l2",0.0731838597556602,0.619985085971729,0.730054691175681,FALSE,FALSE,"Not sig."
"Zfp385a","Zfp385a",-0.0695377294241137,0.801162860281814,0.869479610280765,FALSE,FALSE,"Not sig."
"Itga5","Itga5",0.319881193771928,0.46144778353486,0.597596309141275,FALSE,FALSE,"Not sig."
"Wdr77","Wdr77",0.306329086955478,0.123271349292295,0.240206857495189,FALSE,FALSE,"Not sig."
"Adora3","Adora3",-0.317573904035083,0.429137218418188,0.568003686734506,FALSE,FALSE,"Not sig."
"Atp5pb","Atp5pb",-1.20395701941208,8.10969902043884e-07,2.31292302289743e-05,FALSE,TRUE,"Down"
"Hnrnpd","Hnrnpd",0.228552098880396,0.101285865698477,0.209292990062603,FALSE,FALSE,"Not sig."
"Dynlt1c","Dynlt1c",-0.749426461646134,0.00409053611328114,0.0212185405621765,FALSE,TRUE,"Down"
"C1d","C1d",0.251899942978766,0.310088712566704,0.456725734037508,FALSE,FALSE,"Not sig."
"Gm2a","Gm2a",-0.14925387965593,0.599120519306693,0.713003679152689,FALSE,FALSE,"Not sig."
"Krit1","Krit1",0.595087236331416,0.00150634240285086,0.00972381214679805,TRUE,FALSE,"Up"
"Clcn4","Clcn4",0.0413114013533422,0.749120527992066,0.830745272691095,FALSE,FALSE,"Not sig."
"Grm6","Grm6",0.508840476099939,0.25485334670457,0.397483799129462,FALSE,FALSE,"Not sig."
"Sema4f","Sema4f",0.372516073216501,0.367101521993379,0.511350538294473,FALSE,FALSE,"Not sig."
"Hk2","Hk2",-0.0898066427092355,0.781095612801576,0.855544107973027,FALSE,FALSE,"Not sig."
"Myo18a","Myo18a",0.396080591039172,0.0724357395722017,0.16774240558988,FALSE,FALSE,"Not sig."
"Haao","Haao",0.585613626293051,0.0299305573394737,0.0915073161222634,FALSE,FALSE,"Not sig."
"Cd52","Cd52",-0.176281734157917,0.564006132063036,0.685227316415823,FALSE,FALSE,"Not sig."
"Abhd15","Abhd15",0.0518829500408692,0.7744539323811,0.850794221960117,FALSE,FALSE,"Not sig."
"Loxl3","Loxl3",-0.455137930175451,0.0173475356957429,0.0618273858125187,FALSE,FALSE,"Not sig."
"Kat2b","Kat2b",-0.268913850321065,0.160153475029902,0.287643617883246,FALSE,FALSE,"Not sig."
"Rab5b","Rab5b",-0.531805623574651,0.00450425522520779,0.0228465472653909,FALSE,TRUE,"Down"
"Cryba1","Cryba1",0.866134081148889,0.0589213349683453,0.145264653753706,FALSE,FALSE,"Not sig."
"Icosl","Icosl",0.548911421997855,0.0181048423300734,0.0637837356541524,FALSE,FALSE,"Not sig."
"Spg7","Spg7",-0.150946293588396,0.383666423062185,0.526620274660238,FALSE,FALSE,"Not sig."
"Rpl13","Rpl13",-0.940572961595904,4.90283525861843e-05,0.000583735101142341,FALSE,TRUE,"Down"
"Chmp1a","Chmp1a",-0.712911672775206,0.000111016413620407,0.00113633358443922,FALSE,TRUE,"Down"
"Rpa1","Rpa1",0.252421579476283,0.222994934249217,0.362764250699174,FALSE,FALSE,"Not sig."
"Serpinf1","Serpinf1",0.277760061963349,0.590876455025598,0.706423928358883,FALSE,FALSE,"Not sig."
"Tubgcp3","Tubgcp3",0.390975417434559,0.014216852916271,0.0538032628389736,FALSE,FALSE,"Not sig."
"Oprm1","Oprm1",0.343921054258745,0.0942850772256805,0.199457760300921,FALSE,FALSE,"Not sig."
"Polr3d","Polr3d",0.467733554781226,0.0197709821157944,0.0680301767400887,FALSE,FALSE,"Not sig."
"Tcf7","Tcf7",0.490890172481823,0.120143964710977,0.236129461731879,FALSE,FALSE,"Not sig."
"Ddx3x","Ddx3x",0.0423282368904749,0.850655494378775,0.904222080582019,FALSE,FALSE,"Not sig."
"Il12rb1","Il12rb1",-0.443244981687415,0.134517984584993,0.254879388276775,FALSE,FALSE,"Not sig."
"Usp32","Usp32",-1.29674239508088,5.73170671081837e-06,0.000103195390981434,FALSE,TRUE,"Down"
"Txnrd3","Txnrd3",0.373749631280849,0.163200180361414,0.291281334569106,FALSE,FALSE,"Not sig."
"Fasl","Fasl",0.302589430865398,0.388597570407295,0.53121131919214,FALSE,FALSE,"Not sig."
"Zfp512b","Zfp512b",0.349548202915238,0.109194392309276,0.220906082393858,FALSE,FALSE,"Not sig."
"Dnajc5","Dnajc5",0.189901972933756,0.160292182785657,0.287761598129522,FALSE,FALSE,"Not sig."
"Tpd52l2","Tpd52l2",-0.339585446670468,0.034740060118027,0.101337288335919,FALSE,FALSE,"Not sig."
"Fmr1","Fmr1",-0.019452200720959,0.897051620125306,0.933599153138376,FALSE,FALSE,"Not sig."
"Bcl11a","Bcl11a",0.833541823903958,0.0167613348708853,0.0604941016090709,FALSE,FALSE,"Not sig."
"Il4","Il4",0.616340175770349,0.175496831701979,0.30628895685475,FALSE,FALSE,"Not sig."
"Pxmp4","Pxmp4",-1.07383984491537,5.32107248634123e-06,9.77659423588523e-05,FALSE,TRUE,"Down"
"Dlg3","Dlg3",0.136416469198505,0.661408906809057,0.764063368456859,FALSE,FALSE,"Not sig."
"Gnb1l","Gnb1l",-0.390983263899534,0.237257956496735,0.378172246421635,FALSE,FALSE,"Not sig."
"Mmp11","Mmp11",-0.323789649492473,0.513621499753508,0.643771094727004,FALSE,FALSE,"Not sig."
"Smarcb1","Smarcb1",0.248765134478389,0.222328994086375,0.361868553409847,FALSE,FALSE,"Not sig."
"Vpreb3","Vpreb3",0.570010026896935,0.341950594168159,0.487131116609857,FALSE,FALSE,"Not sig."
"Hip1r","Hip1r",0.520117920669827,0.0357662471971828,0.1036560360456,FALSE,FALSE,"Not sig."
"Nsun5","Nsun5",0.276600478698044,0.160512696976738,0.288082642214114,FALSE,FALSE,"Not sig."
"Top1mt","Top1mt",0.222992488297844,0.44311562648337,0.580505062818646,FALSE,FALSE,"Not sig."
"Slc7a7","Slc7a7",-0.0655783656148737,0.761649025728604,0.840849267517221,FALSE,FALSE,"Not sig."
"Oxa1l","Oxa1l",0.303187774129218,0.0571182008493108,0.142217520328968,FALSE,FALSE,"Not sig."
"Heatr6","Heatr6",0.446586069552703,0.0133808620075743,0.0516189478429294,FALSE,FALSE,"Not sig."
"Ccl3","Ccl3",0.939489542902243,0.0139355025288547,0.0530937212020127,FALSE,FALSE,"Not sig."
"Ilf2","Ilf2",0.629557745937568,0.000153084908094969,0.0014891957454913,TRUE,FALSE,"Up"
"Chtop","Chtop",0.253820953164725,0.120617334302316,0.236726138279601,FALSE,FALSE,"Not sig."
"Snapin","Snapin",-0.163675075425875,0.393349241691054,0.535256954454678,FALSE,FALSE,"Not sig."
"S100a4","S100a4",-0.741911114195475,0.140203840353747,0.261987583409224,FALSE,FALSE,"Not sig."
"S100a6","S100a6",-0.544581234443678,0.122666156985477,0.239585619301284,FALSE,FALSE,"Not sig."
"Scn4a","Scn4a",0.146856288977215,0.704300375995553,0.797245662851182,FALSE,FALSE,"Not sig."
"Icam2","Icam2",0.212340568445069,0.326726617853415,0.473080569172517,FALSE,FALSE,"Not sig."
"Mapk7","Mapk7",0.254794085233145,0.2113996512246,0.349286095703887,FALSE,FALSE,"Not sig."
"Epn2","Epn2",0.429917464378723,0.282997505926279,0.427305462864742,FALSE,FALSE,"Not sig."
"Sec24b","Sec24b",0.254375785605722,0.0530202672619804,0.135237500229022,FALSE,FALSE,"Not sig."
"N4bp3","N4bp3",0.466294668807805,0.162611552246432,0.290685522669584,FALSE,FALSE,"Not sig."
"Rmnd5b","Rmnd5b",0.362049288400024,0.0683672717427913,0.160934326224027,FALSE,FALSE,"Not sig."
"Nhp2","Nhp2",-0.0143939526589257,0.953625913970794,0.970091731065134,FALSE,FALSE,"Not sig."
"Vps9d1","Vps9d1",0.343524591807862,0.157314921542528,0.284121468249332,FALSE,FALSE,"Not sig."
"Zfp276","Zfp276",0.448207216138143,0.0644288365419806,0.154503625026814,FALSE,FALSE,"Not sig."
"Mfsd10","Mfsd10",0.211693949112553,0.381427174605721,0.52472370249147,FALSE,FALSE,"Not sig."
"Luzp1","Luzp1",0.257809898105147,0.369292513811266,0.513523166267724,FALSE,FALSE,"Not sig."
"Kctd10","Kctd10",0.12759645833983,0.406543655361175,0.547570712796758,FALSE,FALSE,"Not sig."
"Poldip2","Poldip2",0.307076805402043,0.129562216625972,0.248415012442983,FALSE,FALSE,"Not sig."
"Ift20","Ift20",-1.3123715741546,3.68541114297596e-07,1.27055561629685e-05,FALSE,TRUE,"Down"
"Pcbp3","Pcbp3",0.360322373538838,0.157895599555145,0.284770318887255,FALSE,FALSE,"Not sig."
"Lgals9","Lgals9",-1.55711453817039,2.46536422367664e-08,1.6633255721999e-06,FALSE,TRUE,"Down"
"Araf","Araf",0.458372371590267,0.00999517357748036,0.0418656319171566,TRUE,FALSE,"Up"
"Cfp","Cfp",-0.215765374885672,0.535871728427908,0.662984750078065,FALSE,FALSE,"Not sig."
"Uxt","Uxt",-0.303451961945853,0.235405696817672,0.376244251176004,FALSE,FALSE,"Not sig."
"Cnnm3","Cnnm3",0.200492816074168,0.308770347955447,0.455050980210559,FALSE,FALSE,"Not sig."
"Lman2l","Lman2l",0.321482348539742,0.0911084081838499,0.195005869742305,FALSE,FALSE,"Not sig."
"Mcm3ap","Mcm3ap",0.459674758730213,0.00836356492887214,0.0366205081271516,TRUE,FALSE,"Up"
"Pcnt","Pcnt",0.355280836667065,0.179402524019762,0.311300093186393,FALSE,FALSE,"Not sig."
"Mxd1","Mxd1",-1.099493081929,0.00021035227050395,0.00193102461050042,FALSE,TRUE,"Down"
"Gmcl1","Gmcl1",0.263198683121601,0.148574381941508,0.272781261007167,FALSE,FALSE,"Not sig."
"Snrnp27","Snrnp27",-0.756576367205317,0.00935211455511053,0.039999592975689,FALSE,TRUE,"Down"
"Oas1c","Oas1c",0.196956882616775,0.604232867861493,0.716819650103411,FALSE,FALSE,"Not sig."
"Ocrl","Ocrl",-0.455565872349629,0.0442919983146561,0.120099456968587,FALSE,FALSE,"Not sig."
"Calm1","Calm1",-0.0175135524074182,0.924151678778557,0.950121204079314,FALSE,FALSE,"Not sig."
"Agpat3","Agpat3",-0.00504087975185403,0.97919952971052,0.98695925151402,FALSE,FALSE,"Not sig."
"Sema6b","Sema6b",-0.328654525129407,0.52547454715612,0.653212490565839,FALSE,FALSE,"Not sig."
"Uhrf1","Uhrf1",-1.21062548038865,0.000691429243892077,0.00519565603688723,FALSE,TRUE,"Down"
"Dpp9","Dpp9",0.340130017306878,0.0298642144453054,0.0913617813442558,FALSE,FALSE,"Not sig."
"Ramp2","Ramp2",-1.05630453862477,8.92307548361985e-07,2.48834831653212e-05,FALSE,TRUE,"Down"
