"","ID","Description_F","nsig","signsum","meanp","meanprank","setSize_F","enrichmentScore_FucoVsCtrl_F","NES_FucoVsCtrl_F","pvalue_FucoVsCtrl_F","p.adjust_FucoVsCtrl_F","qvalue_FucoVsCtrl_F","rank_FucoVsCtrl_F","leading_edge_FucoVsCtrl_F","core_enrichment_FucoVsCtrl_F","Description_M","setSize_M","enrichmentScore_FucoVsCtrl_M","NES_FucoVsCtrl_M","pvalue_FucoVsCtrl_M","p.adjust_FucoVsCtrl_M","qvalue_FucoVsCtrl_M","rank_FucoVsCtrl_M","leading_edge_FucoVsCtrl_M","core_enrichment_FucoVsCtrl_M"
"1","GO:0000002","mitochondrial genome maintenance",0,0,0.409079994083291,1773.5,36,-0.289871700504992,-1.01436748674943,0.423684210526316,0.798683053006132,0.743372592271635,2713,"tags=31%, list=22%, signal=24%","Mrpl17/Mrpl15/Parp1/Tymp/Mettl4/Gimap3/Rrm2b/Dna2/Rnaseh1/Akt3/Ppargc1a","mitochondrial genome maintenance",37,0.39268753128495,1.60297970538377,0.02583588612588,0.1903117235546,0.162191589742829,4420,"tags=57%, list=35%, signal=37%","Polg2/Ppargc1a/Stox1/Parp1/Twnk/Tk2/Gimap3/Top3a/Endog/Polg/Flcn/Slc25a36/Rrm2b/Trp53/Lig3/Ssbp1/Rrm1/Rnaseh1/Mrpl15/Opa1/Mettl4"
"2","GO:0000012","single strand break repair",0,0,0.133095237739593,3414.25,12,-0.29870501799138,-0.78829613470361,0.738738738738739,0.927308137081777,0.863090122048413,2916,"tags=42%, list=24%, signal=32%","Lig4/Aplf/Parp1/Ercc8/Tdp1","single strand break repair",12,0.411255993677413,1.16400013403271,0.280864197530864,0.584232152028762,0.497907011436598,4595,"tags=75%, list=37%, signal=48%","Trpc2/Ercc8/Sirt1/Parp1/Xrcc1/Ercc6/Tdp1/Lig4/Aptx"
"3","GO:0000018","regulation of DNA recombination",0,2,0.031248544960685,4641,119,0.168440735784612,0.63613606920398,0.997329773030708,1,0.930747922437673,1002,"tags=8%, list=8%, signal=7%","Hmces/Zcwpw1/Fignl1/Mrnip/H1f1/H1f0/Fus/Chek1/Shld1","regulation of DNA recombination",119,0.177579659300512,0.919818128778631,0.666666666666667,0.865970125949828,0.738015865624298,3853,"tags=44%, list=31%, signal=31%","Fus/Fignl1/H1f1/Prdm9/Meaf6/Fancb/Rpa2/Bcl6/Pot1b/Il4/Klhl15/Cd40/Msh6/Dmap1/Clcf1/Rif1/Il27ra/Foxp3/Thoc1/Smchd1/Parp1/Rtel1/Ercc2/Wrap53/Hmces/Rad51/Alyref/Ruvbl1/Slc15a4/Rad50/Mms19/Chek1/Msh3/Brd8/Helb/Ercc6/Mrgbp/Ptprc/Mlh1/Ing3/Exosc6/Spidr/Pogz/Shld2/Pms2/Trrap/Ubqln4/Kat5/Mbtd1/Stat6/Zcwpw1/Setd2"
"4","GO:0000027","ribosomal large subunit assembly",0,0,0.200238646157342,2208.25,25,0.438893213442148,1.25308556519969,0.193602693602694,0.635822952828262,0.591790892383092,3990,"tags=56%, list=32%, signal=38%","Fastkd2/Rpl3/Nop2/Rpf2/Mdn1/Ppan/Mrpl20/Rpl6/Rpl5/Rpl24/Rpl11/Nop53/Rpl10/Bop1","ribosomal large subunit assembly",25,-0.392447639098042,-1.11739199158488,0.328083989501312,0.625441228379809,0.533027105356048,2254,"tags=40%, list=18%, signal=33%","Rpl5/Ddx28/Rpl6/Rpl11/Rpl10/Rpl23a/Mrpl20/Rpl38/Rpl24/Rplp0"
"5","GO:0000028","ribosomal small subunit assembly",0,0,0.281006706041583,2168.75,19,0.367275122684904,1.00046255133661,0.469387755102041,0.820973738332542,0.764119601328904,3989,"tags=58%, list=32%, signal=39%","Rps27/Mrps7/Rps19/Rps25/Xrcc5/Rps27l/Rps14/Rps5/Rps28/Rps2/Rps15","ribosomal small subunit assembly",19,-0.534110152802485,-1.4478506132518,0.0810092961487384,0.333931449773425,0.284590311580783,3089,"tags=58%, list=25%, signal=44%","Mrps11/Rps19/Rps25/Rps27l/Rps15/Rps28/Rps14/Rps5/Rpsa/Rps2/Rpl38"
"6","GO:0000038","very long-chain fatty acid metabolic process",0,-2,0.375156969066954,1307.5,23,-0.390159873552803,-1.21304226892676,0.181372549019608,0.630785069326382,0.587101892780234,3307,"tags=39%, list=27%, signal=29%","Pex2/Abcd3/Hsd17b4/Elovl1/Slc27a4/Abcd1/Hacd1/Hacd4/Elovl7","very long-chain fatty acid metabolic process",23,-0.533630118542886,-1.49263169770544,0.0573856865966787,0.281711552383695,0.240086336651368,3036,"tags=39%, list=24%, signal=30%","Abcd2/Acox1/Elovl1/Elovl6/Slc27a2/Hacd1/Hacd4/Elovl7/Acsl1"
"7","GO:0000041","transition metal ion transport",1,-2,1.22977902313244,230,69,-0.372099203577173,-1.48303075165309,0.0186090389900711,0.292081003278942,0.271853786985386,3376,"tags=43%, list=27%, signal=32%","Slc30a5/Slc11a2/Slc39a6/Slc39a11/Hfe/Slc25a28/Abcb6/Slc30a9/Slc39a9/Slc39a14/Cp/Arhgap1/Slc30a4/Atox1/Rab11b/Slc30a1/Slc39a13/Slc39a3/Tfrc/Atp2c1/Abcc5/Abcc2/Nectin1/Trpc6/Sfxn1/Slc39a8/Ltf/Trpc1/Steap3/Mmgt2","transition metal ion transport",70,-0.517936940843763,-1.77209793063046,0.000268475532765748,0.0118833432535659,0.0101274808391014,2080,"tags=33%, list=17%, signal=28%","Slc39a8/Slc39a6/Steap3/Slc39a4/Sfxn1/Slc30a9/Rab11b/Atp2c1/Trpc1/Trpc6/B2m/Fth1/Abcb7/Atox1/Tfrc/Snx3/Abcb6/Ltf/Slc25a37/Slc48a1/Iscu/Slc6a9/Inhca"
"8","GO:0000045","autophagosome assembly",0,0,0.579877667024126,2758.25,96,0.184470460090491,0.677204254930341,0.968876860622463,1,0.930747922437673,2900,"tags=19%, list=23%, signal=14%","Atg2a/Phf23/Moap1/Nupr1/Irgm1/Snx18/Smcr8/Map1lc3a/Ehmt2/Rab33b/Pip4k2c/Rufy4/Atg14/C9orf72/Atg101/Rab1a/Smurf1/Vmp1","autophagosome assembly",96,-0.444800267125016,-1.57550245595626,0.00437626750322311,0.06922208335089,0.0589939470584973,1008,"tags=28%, list=8%, signal=26%","Map1lc3a/Atg9a/Fez2/Rab43/Sec22b/Ubqln2/Ralb/Wdr45/Rab7/Rab1b/Rnf5/Pip4k2a/Ubxn2a/Ctsd/Gabarapl1/Ift20/Igtp/Chmp4b/Gabarap/Becn1/Atg12/Sh3glb1/Gabarapl2/Map1lc3b/Mtmr3/Wipi1/Pink1"
"9","GO:0000054","ribosomal subunit export from nucleus",0,2,0.0295774077649197,4510.75,14,0.297016683002194,0.745588652433259,0.773584905660377,0.938254744105808,0.873278653793771,4059,"tags=57%, list=33%, signal=38%","Npm1/Ran/Nmd3/Nup88/Lsg1/Abce1/Rps15/Riok2","ribosomal subunit export from nucleus",14,0.251333839249759,0.768361780869917,0.805732484076433,0.930088801627349,0.79266047577286,6101,"tags=79%, list=49%, signal=40%","Nup88/Ltv1/Sdad1/Nmd3/Lsg1/Riok2/Npm1/Xpo1/Eif6/Abce1/Nop9"
"10","GO:0000070","mitotic sister chromatid segregation",0,0,0.392089970054423,2429,149,0.221474412344414,0.866968593340685,0.726221079691517,0.924890046543405,0.860839489303557,2036,"tags=17%, list=16%, signal=15%","Nek2/Tex14/Rec8/Phf13/Cdt1/Ccnb1/Ncapd2/Ncapg2/Spdl1/Chmp2a/Nup62/Ncapg/Dscc1/Kif18a/Khdc3/Smarca5/Birc5/Tacc3/Kpnb1/Ube2c/Cdc6/Espl1/Ppp2r1a/Ran/Ncaph/Cit","mitotic sister chromatid segregation",148,-0.380477844602721,-1.39764028848482,0.0222793193963874,0.177717401349477,0.15145818298244,2094,"tags=24%, list=17%, signal=21%","Zwilch/Ncapg/Ccnb1/Chmp1a/Ncapg2/Incenp/Slf1/Chmp1b/Cenpe/Lcmt1/Prc1/Kif18a/Dctn2/Kif18b/Sgo2a/Rab11a/Chmp5/Bub1b/Zwint/Ttk/Rb1/Cenpk/Kntc1/Espl1/Nuf2/Kif14/Cit/Spag5/Chmp4b/Birc5/Psrc1/Becn1/Pttg1/Bub1/Ube2c/Nusap1"
