"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"GO:0009617","GO:0009617","response to bacterium",440,0.382915265982969,1.66387287616036,1.09077371180994e-06,0.00590653964945083,0.0054974995075221,2856,"tags=35%, list=23%, signal=28%","Cxcl1/Adm/Il23a/Slamf9/Adgrb1/Tnf/Lrg1/Il36g/Cxcl2/Tgtp1/Il6/Gbp10/Defb40/Clec4e/Wfdc17/Il10/Plscr1/Prdm1/Plscr2/Nfkbia/Cxcl10/Acod1/Ifi205/Trib1/Wfdc21/Cubn/Lcn2/Nlrp3/Tnfaip3/Zfp36/S100a9/Pycard/Fcgr4/Stab1/Nr1d1/Gsdmc4/Baiap2l1/Vil1/Cd14/Il1b/Arg2/Muc5b/Unc13b/Fam20a/Ccdc80/Hp/Ptafr/Cxcl16/Baiap2/Nfkbil1/Romo1/Fabp4/Plac8/Fzd5/S100a8/Tlr2/Chga/Slpi/Ncl/Gbp6/Il12rb2/Slfn4/Dab2ip/Gch1/Bcl3/Slfn2/Cd68/C5ar1/Clec4d/Tlr9/Tnfsf8/Irgm1/Traf6/Mapkbp1/Ptpn22/Lpl/Cd80/Gbp2/Gzma/Zc3h12a/Cactin/Dusp10/Paf1/Myd88/Cd55b/Cd86/Irak2/Trem1/Pde4b/Nfkbib/Gpx1/Emilin2/Cebpb/Trem3/Mpeg1/Pla2g6/Trim41/Serpina3f/Noct/Ccdc186/Vim/App/Nod2/Sash1/Optn/Gbp7/Slc11a1/Abca1/Nlrc4/Chd7/Spi1/Cd4/Defb38/Cd180/Il18/Ptger4/Epha2/Bcl10/Iigp1/Pglyrp1/Tnip1/Grn/Rbpj/Pdcd4/Rps19/F2/Hmgb2/Gbp11/Cd274/Amy1/Foxp1/Git1/Wdr83/Fkbp5/Lilrb4a/Rpl30/Rab1a/Coch/P2rx7/Ctr9/Sbno2/Slamf8/Tbxa2r/Rara/H2-K1/Ifit1/Cd6/Notch2/Havcr2/Oas1a/Ticam1/Malt1","FucoVsCtrl","Activated"
"GO:0016049","GO:0016049","cell growth",361,0.394872947879736,1.69549247165308,2.91736550074538e-06,0.00789876709326811,0.00735176106187835,1943,"tags=24%, list=16%, signal=20%","Gng4/Rgma/Hspa1a/Trim40/Ptch2/Islr2/Hspa1b/Cpne5/Nrp2/Sema6c/Sema3b/Slit1/Tnk1/Cpne9/Wnt11/Sertad1/Sema6b/Hyal1/Tchp/Supv3l1/Tnr/Tnfrsf12a/Osgin1/Bmp10/Rasal1/Eaf2/Wnt3/Dbn1/Nrg1/Ryk/Sertad3/Rnd2/Hsp90ab1/Rrad/Cxcl16/Plxna1/Sesn2/Aatk/Vegfa/Afdn/Camk2d/Plxna3/Sorbs2/Cntf/Ddx3x/Tnn/Cdkn1a/Ntrk3/Commd5/Ptprs/Prkcz/Shtn1/Trip10/Dab2ip/Cdk5r1/Trim46/Tnc/Dcbld2/Ccdc85b/Olfm1/Sema5a/Npm1/Sema4c/Hsd3b7/Ccn4/Mapt/Hsp90aa1/Impact/Ttl/Unc13a/Il3ra/Fxn/Sphk1/Rbbp7/Bbc3/Sema4g/Cdkn2aip/Osgin2/App/Caprin2/Erbb2/Kat7/Vgll4/Tspyl2/Sema4a","FucoVsCtrl","Activated"
"GO:0001558","GO:0001558","regulation of cell growth",311,0.405342706082895,1.71117049422508,4.57869049330543e-06,0.0082645363404163,0.00769220002875312,1943,"tags=24%, list=16%, signal=21%","Gng4/Rgma/Hspa1a/Trim40/Ptch2/Islr2/Hspa1b/Cpne5/Sema6c/Sema3b/Slit1/Tnk1/Cpne9/Wnt11/Sertad1/Sema6b/Hyal1/Tchp/Supv3l1/Tnr/Tnfrsf12a/Osgin1/Bmp10/Rasal1/Eaf2/Wnt3/Dbn1/Nrg1/Ryk/Sertad3/Rnd2/Rrad/Cxcl16/Sesn2/Aatk/Vegfa/Afdn/Plxna3/Cntf/Ddx3x/Cdkn1a/Ntrk3/Commd5/Ptprs/Shtn1/Trip10/Dab2ip/Cdk5r1/Trim46/Tnc/Dcbld2/Ccdc85b/Olfm1/Sema5a/Npm1/Sema4c/Hsd3b7/Ccn4/Mapt/Ttl/Unc13a/Il3ra/Fxn/Sphk1/Rbbp7/Bbc3/Sema4g/Cdkn2aip/Osgin2/Caprin2/Erbb2/Kat7/Vgll4/Tspyl2/Sema4a","FucoVsCtrl","Activated"
"GO:0030308","GO:0030308","negative regulation of cell growth",139,0.492880058117196,1.89614026564154,6.25335333628543e-06,0.0084654770789964,0.00787922520371964,1943,"tags=32%, list=16%, signal=27%","Gng4/Rgma/Hspa1a/Trim40/Hspa1b/Sema6c/Sema3b/Slit1/Tnk1/Wnt11/Sertad1/Sema6b/Hyal1/Tchp/Tnr/Osgin1/Bmp10/Eaf2/Wnt3/Ryk/Sertad3/Rrad/Sesn2/Aatk/Plxna3/Ddx3x/Cdkn1a/Ptprs/Dab2ip/Cdk5r1/Trim46/Dcbld2/Ccdc85b/Sema5a/Sema4c/Rbbp7/Bbc3/Sema4g/Cdkn2aip/Osgin2/Caprin2/Vgll4/Tspyl2/Sema4a","FucoVsCtrl","Activated"
"GO:0045926","GO:0045926","negative regulation of growth",178,0.454290676012818,1.81025044827638,8.85691257175089e-06,0.00959203631520621,0.00892776787232489,1943,"tags=29%, list=16%, signal=25%","Gng4/Rgma/Hspa1a/Trim40/Hspa1b/Sema6c/Sema3b/Slit1/Tnk1/Wnt11/Sertad1/Sema6b/Hyal1/Tchp/Tnr/Osgin1/Bmp10/Eaf2/Wnt3/Ryk/Sertad3/Cited2/Rrad/Gdf15/Sesn2/Aatk/Plac8/Plxna3/Ddx3x/Cdkn1a/Ptprs/Dab2ip/Cdk5r1/Trim46/Dcbld2/Ccdc85b/Sema5a/Sema4c/Fgfr3/Dusp10/Cxadr/Bbs2/Fxn/Rbbp7/Bbc3/Sema4g/Cdkn2aip/Osgin2/Caprin2/Vgll4/Tspyl2/Sema4a","FucoVsCtrl","Activated"
"GO:0040008","GO:0040008","regulation of growth",492,0.360532419264713,1.57326558176677,1.17175212657287e-05,0.0105750629423202,0.00984271786321214,2459,"tags=27%, list=20%, signal=23%","Gng4/Rgma/Hspa1a/Trim40/Ptch2/Islr2/Hspa1b/Cpne5/Sema6c/Socs3/Sema3b/Cish/Slit1/Tbx2/Sptbn4/Tnk1/Eppk1/Cpne9/Wnt11/Sertad1/Sema6b/Hyal1/Tchp/Supv3l1/Tnr/Tnfrsf12a/Osgin1/Bmp10/Rasal1/Eaf2/Wnt3/Dbn1/Nrg1/Gli1/Ryk/Sertad3/Vil1/Sox15/Rnd2/Cited2/Rrad/Gdf15/Ccnb2/Cxcl16/Socs1/Sesn2/Dll1/Aatk/Vegfa/Agr2/Ccnb1/Bcl2l11/Afdn/Plac8/Plxna3/Cntf/Ddx3x/Kctd21/Cdkn1a/Ntrk3/Commd5/Ptprs/Shtn1/Trip10/Dab2ip/Cdk5r1/Trim46/Tnc/Dcbld2/Ccdc85b/Olfm1/Osm/Pim1/Cdk1/Sema5a/Npm1/Sema4c/Hsd3b7/Ccn4/Fgfr3/Dusp10/Mapt/P2rx5/Hlx/Bnipl/Cxadr/Ttl/Unc13a/Cspg5/Bbs2/Selenop/Il3ra/Fxn/Sphk1/Rbbp7/Opa3/Bbc3/Stat5a/Sema4g/Cdkn2aip/Osgin2/Hopx/App/Caprin2/Erbb2/Naca/Morf4l2/Kat7/Vgll4/Tspyl2/Sema4a/Adrb1/Chd7/Smarca4/Macf1/Pin1/Yy1/Hif1a/Ptger4/Mgll/Ezr/Enox2/Gsk3a/Mapk11/Rbpj/Daxx/Hnrnpk/Ifrd1/Clstn1/Rftn1/Ing3/Ptch1/Rack1/F2","FucoVsCtrl","Activated"
"GO:0042742","GO:0042742","defense response to bacterium",164,0.456835232020988,1.8114271161966,4.0181185638782e-05,0.0251532585385452,0.0234113431272886,2850,"tags=41%, list=23%, signal=32%","Adm/Il23a/Slamf9/Adgrb1/Tnf/Gbp10/Defb40/Clec4e/Wfdc17/Il10/Wfdc21/Lcn2/Nlrp3/Pycard/Stab1/Gsdmc4/Arg2/Muc5b/Unc13b/Hp/Romo1/Plac8/Tlr2/Chga/Slpi/Gbp6/Bcl3/C5ar1/Clec4d/Tlr9/Tnfsf8/Irgm1/Mapkbp1/Gbp2/Myd88/Trem1/Emilin2/Cebpb/Trem3/Mpeg1/Pla2g6/App/Nod2/Optn/Gbp7/Slc11a1/Nlrc4/Cd4/Defb38/Epha2/Iigp1/Pglyrp1/Grn/Rbpj/Rps19/F2/Hmgb2/Gbp11/Foxp1/Rpl30/Rab1a/Coch/P2rx7/Slamf8/H2-K1/Notch2/Havcr2/Oas1a","FucoVsCtrl","Activated"
"GO:0050817","GO:0050817","coagulation",124,-0.396734054482815,-1.75320824192131,4.37025262437254e-05,0.0251532585385452,0.0234113431272886,2997,"tags=46%, list=24%, signal=35%","Ano6/Stxbp3/Apoh/Comp/Anxa5/Bloc1s3/Prkca/F13a1/Prkcq/Gp9/Gata1/F12/F2r/Ceacam1/Thbd/Proz/Bloc1s4/Treml1/Hpse/Hps1/Fermt3/Selp/Ptprj/Gp5/P2rx1/Evl/Sh2b3/Psen2/C1galt1c1/F2rl1/Vwf/Pf4/Pik3cb/Ubash3b/Alox12/Rap2b/Serpine2/Mpig6b/Pla2g4a/Itgb3/Pdgfa/Cd9/Plek/Gp1ba/Gp6/P2ry12/Pros1/F2rl2/F5/Tspan32/Prkg1/Mmrn1/F2rl3/Enpp4/Pdgfb/P2ry1/Thbs1","FucoVsCtrl","Suppressed"
"GO:0007599","GO:0007599","hemostasis",124,-0.395246773320161,-1.74663579480477,4.64510776335091e-05,0.0251532585385452,0.0234113431272886,2997,"tags=46%, list=24%, signal=35%","Ano6/Stxbp3/Apoh/Zfp385a/Comp/Anxa5/Bloc1s3/Prkca/F13a1/Prkcq/Gp9/Gata1/F12/F2r/Ceacam1/Thbd/Proz/Bloc1s4/Treml1/Hpse/Hps1/Fermt3/Selp/Ptprj/Gp5/P2rx1/Evl/Sh2b3/C1galt1c1/F2rl1/Vwf/Pf4/Pik3cb/Ubash3b/Alox12/Rap2b/Serpine2/Mpig6b/Pla2g4a/Itgb3/Pdgfa/Cd9/Plek/Gp1ba/Gp6/P2ry12/Pros1/F2rl2/F5/Tspan32/Prkg1/Mmrn1/F2rl3/Enpp4/Pdgfb/P2ry1/Thbs1","FucoVsCtrl","Suppressed"
"GO:0061061","GO:0061061","muscle structure development",417,0.363888081356867,1.57543432833309,4.30479655693855e-05,0.0251532585385452,0.0234113431272886,2445,"tags=29%, list=20%, signal=24%","Adm/Adgrb1/Tnf/Trim72/Mamstr/Il36g/Alpk2/Il6/Mapk12/Myc/Tnni3/Maff/Tbx2/Bhlhe41/Cxcl10/Casq1/Atf3/Kit/Dmd/Usp2/Bmp10/Nrg1/Sik1/Kdm6b/Myo18b/Sox15/Ddit3/Cited2/Alpk3/Sod2/Wnt4/Gdf15/Tnnt3/Dll1/Erbb3/Sap30/Vegfa/Olfm2/Myof/Camk2d/Gtf3c5/Chrnb1/Egr2/Sorbs2/Cntf/Ehd1/Uqcc2/Fos/Prickle1/Med20/Selenon/Zfp36l1/Trip10/Ryr2/Plec/Bhlha15/Ttn/Nfatc1/Lama5/Nupr1/Unc45a/Csrp2/Nr1d2/Large1/Klf5/Ptbp1/Sema4c/Fzd7/Lmod2/Id3/Ccn4/Dmpk/Dpf3/Id2/Mybpc3/Hlx/Cxadr/Egr1/Mylpf/Neb/Atp11a/Gpx1/Stac3/Emd/Flot2/Cdk9/Dtnbp1/Efnb2/Hopx/Chd2/Hdac9/Naca/Hmg20b/Ryr1/Rcan1/Hes1/Epas1/Ehd2/Adrb1/Chd7/Smarca4/Thra/Mdm2/Pin1/Il18/Map3k5/Foxo4/Prr14/Yy1/Flnb/Gsk3a/Svil/Rbpj/Daxx/Tarbp2/Ccl9/Ifrd1/Pdcd4/Scx/Zfhx3/Eif5a/Chkb","FucoVsCtrl","Activated"
