"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"GO:0030168","GO:0030168","platelet activation",75,-0.680718472161093,-2.36396803460825,1e-10,1.08e-07,9.20421052631579e-08,1880,"tags=55%, list=15%, signal=47%","Jak2/Rap2b/Pik3cb/Fn1/Prkcq/C1galt1c1/Abat/Ptprj/Prkca/Pla2g4a/Ppia/P2ry12/Pdgfa/Cd9/Fcer1g/Plek/Ubash3b/Pf4/Gp1ba/F11r/Ptger3/Fermt3/Mmrn1/P2ry1/Vwf/Serpine2/Gata1/Gp5/Treml1/Alox12/Gp9/F2r/Gnas/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Gp1bb/Dmtn","FucoVsCtrl","Suppressed"
"GO:0007596","GO:0007596","blood coagulation",123,-0.647693537041925,-2.34400994322137,1e-10,1.08e-07,9.20421052631579e-08,1740,"tags=46%, list=14%, signal=40%","Rap2b/Pik3cb/Fn1/Prkcq/C1galt1c1/Abat/Ptprj/Prkca/Pla2g4a/Ephb2/Ppia/P2ry12/Pdgfa/Cd9/Anxa5/Fcer1g/Plek/Ubash3b/Hpse/Pf4/F10/Gp1ba/F11r/Gp6/Ptger3/Fermt3/Pros1/F8/Mmrn1/P2ry1/F2rl2/Mpig6b/Vwf/F5/Serpine2/F13a1/Gata1/Gp5/Treml1/Alox12/Gp9/F2r/Gnas/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Gp1bb/Thbs1/Tspan8/Dmtn/Prdx2/Cd36/Slc4a1","FucoVsCtrl","Suppressed"
"GO:0050817","GO:0050817","coagulation",125,-0.64527140791183,-2.33668357477612,1e-10,1.08e-07,9.20421052631579e-08,1740,"tags=45%, list=14%, signal=39%","Rap2b/Pik3cb/Fn1/Prkcq/C1galt1c1/Abat/Ptprj/Prkca/Pla2g4a/Ephb2/Ppia/P2ry12/Pdgfa/Cd9/Anxa5/Fcer1g/Plek/Ubash3b/Hpse/Pf4/F10/Gp1ba/F11r/Gp6/Ptger3/Fermt3/Pros1/F8/Mmrn1/P2ry1/F2rl2/Mpig6b/Vwf/F5/Serpine2/F13a1/Gata1/Gp5/Treml1/Alox12/Gp9/F2r/Gnas/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Gp1bb/Thbs1/Tspan8/Dmtn/Prdx2/Cd36/Slc4a1","FucoVsCtrl","Suppressed"
"GO:0007599","GO:0007599","hemostasis",125,-0.64307113388246,-2.32871585123933,1e-10,1.08e-07,9.20421052631579e-08,1740,"tags=45%, list=14%, signal=39%","Rap2b/Pik3cb/Fn1/Prkcq/C1galt1c1/Abat/Ptprj/Prkca/Pla2g4a/Ephb2/Ppia/P2ry12/Pdgfa/Cd9/Anxa5/Fcer1g/Plek/Ubash3b/Hpse/Pf4/F10/Gp1ba/F11r/Gp6/Ptger3/Fermt3/Pros1/F8/Mmrn1/P2ry1/F2rl2/Mpig6b/Vwf/F5/Serpine2/F13a1/Gata1/Gp5/Treml1/Alox12/Gp9/F2r/Gnas/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Gp1bb/Thbs1/Tspan8/Dmtn/Prdx2/Cd36/Slc4a1","FucoVsCtrl","Suppressed"
"GO:0042060","GO:0042060","wound healing",251,-0.509618520782007,-1.92017287273279,1e-10,1.08e-07,9.20421052631579e-08,2415,"tags=39%, list=19%, signal=32%","Arl8b/Tgfb1/Smpd1/Sh2b3/Pdcd10/Stxbp1/Chmp2a/C3/Lyn/Syt11/Cd44/Ndnf/Ptk2/B4galt1/Pecam1/Ccr2/Chmp1a/Jak2/Il1a/Chmp1b/Rap2b/Myh10/Mustn1/Pik3cb/Fn1/Prkcq/C1galt1c1/Myh9/Abat/Gata2/Ptprj/Fgf10/Prkca/Pla2g4a/Ephb2/Chmp5/Ppia/Yap1/Sytl4/P2ry12/Pdgfa/Cd9/Flna/Anxa5/Fcer1g/Plek/Itgb1/Ubash3b/Hpse/Pf4/F10/Gp1ba/F11r/Gp6/Ptger3/Fermt3/Pros1/Nlrp6/Mylk/F8/Kdr/Mmrn1/P2ry1/Actg1/F2rl2/Mpig6b/Vwf/F5/Serpine2/F13a1/Gata1/Gp5/Treml1/Alox12/Cnn2/Gp9/Cd151/F2r/Serpinb2/Gnas/Aqp1/Chmp4b/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Fgfr1op2/Gp1bb/Tpm1/Thbs1/Gpx1/Tspan8/Dmtn/Prdx2/Cd36/Slc4a1","FucoVsCtrl","Suppressed"
"GO:0061515","GO:0061515","myeloid cell development",78,-0.652888959454252,-2.27719234478409,1.37466817962381e-10,1.23720136166143e-07,1.05439461075707e-07,1810,"tags=44%, list=14%, signal=38%","Wasf2/G6pdx/Tspan2/Ninj1/Atp6ap1/Klf1/Abcb10/Ptbp3/Ptpn11/Pip4k2a/Tjp2/Tal1/Src/Gp1ba/Pla2g10/Mpig6b/Gata1/Gp5/Gp9/Zfpm1/Hba-a2/Hba-a1/Gp1bb/Pabpc4/Sox6/Alas2/Dmtn/Trim58/Rhd/Fam210b/Ank1/Rhag/Slc4a1/Epb42","FucoVsCtrl","Suppressed"
"GO:0050878","GO:0050878","regulation of body fluid levels",216,-0.514637588598316,-1.93005627101953,3.40447841972409e-10,2.62631192378716e-07,2.23825257910282e-07,1740,"tags=31%, list=14%, signal=28%","Rap2b/Neurl1a/Nme1/Pik3cb/Fn1/Prkcq/C1galt1c1/Abat/Gnai2/Ptprj/Fgf10/Prkca/Pla2g4a/Ephb2/Ppia/Trpc1/P2ry12/Pdgfa/Ccnd1/Cd9/Anxa5/Fcer1g/Plek/Ubash3b/Hpse/Pf4/F10/Kalrn/Gp1ba/F11r/Gp6/Ptger3/Fermt3/Pros1/Nlrp6/F8/Mmrn1/P2ry1/F2rl2/Mpig6b/Vwf/F5/Serpine2/F13a1/Gata1/Gp5/Treml1/Alox12/Gp9/Adcy6/F2r/Gnas/Aqp1/P2rx1/Itgb3/F2rl3/Prkg1/Selp/Fundc2/Slc6a3/Gp1bb/Thbs1/Map1lc3b/Tspan8/Dmtn/Prdx2/Cd36/Slc4a1","FucoVsCtrl","Suppressed"
"GO:0034101","GO:0034101","erythrocyte homeostasis",137,-0.559879812179875,-2.04276359107444,1.22938542683535e-09,8.29835163113862e-07,7.07220142911073e-07,2265,"tags=36%, list=18%, signal=30%","Lyn/Rps6/Maea/Tmod3/Add1/Rps24/Jak2/Sfxn1/Exoc6/Ncapg2/Rps14/Tmem14c/G6pdx/Gata2/Klf1/Prdx1/Casp3/Abcb10/Ptbp3/Gfi1b/Rb1/Dyrk3/Tal1/B2m/Pla2g10/Gas2l1/Mpig6b/Gata1/Tcea1/Zfpm1/Hba-a2/Foxo3/Hba-a1/Sox6/Alas2/Lmo2/Smap1/Dmtn/Trim58/Fech/Cd24a/Rhd/Fam210b/Tspo2/Ank1/Rhag/Trim10/Slc4a1/Epb42/Isg15","FucoVsCtrl","Suppressed"
"GO:0030218","GO:0030218","erythrocyte differentiation",127,-0.558729416811607,-2.0238449557014,5.00774362923105e-09,3.00464617753863e-06,2.56068481251441e-06,2265,"tags=37%, list=18%, signal=31%","Lyn/Rps6/Maea/Tmod3/Add1/Jak2/Sfxn1/Exoc6/Ncapg2/Rps14/Tmem14c/G6pdx/Gata2/Klf1/Casp3/Abcb10/Ptbp3/Gfi1b/Rb1/Dyrk3/Tal1/B2m/Pla2g10/Gas2l1/Mpig6b/Gata1/Tcea1/Zfpm1/Hba-a2/Foxo3/Hba-a1/Sox6/Alas2/Lmo2/Smap1/Dmtn/Trim58/Fech/Rhd/Fam210b/Tspo2/Ank1/Rhag/Trim10/Slc4a1/Epb42/Isg15","FucoVsCtrl","Suppressed"
"GO:0055076","GO:0055076","transition metal ion homeostasis",93,-0.595998954743566,-2.10423488706464,9.90760646058491e-09,5.35010748871585e-06,4.5595847837555e-06,2103,"tags=38%, list=17%, signal=32%","Atp6v1a/Slc39a8/Slc39a6/Ndfip1/Steap3/Picalm/Slc39a4/Aplp2/Slc30a9/Atp6v0a2/Atp6ap1/Atp2c1/Sod1/Sod2/B2m/Fth1/Abcb7/Atp6v1g1/Atox1/Tfrc/Atp6v0d1/Eif2ak1/Abcb6/Ftl1/Alas2/Ltf/Iscu/Ncoa4/Slc6a9/Fech/Rhd/Ank1/Rhag/Prnp/Epb42","FucoVsCtrl","Suppressed"
