"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"R-MMU-975956","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",83,0.549239282974047,2.00180455308312,6.30382827128097e-06,0.00203676089112788,0.0019172155425993,4345,"tags=77%, list=36%, signal=50%","20084/27367/67427/100043813/20068/269261/57294/66480/225363/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/22187/19943/270106/22121/19988/20103/65019/20116/18458/100503670/68193/19899/67025/19982/27370/20091/27050/54127/20104/67186/67891/20088/16898/110954/20054/19941/26451/14852/19944/66481/76808/66489/19921/66211","FucoVsCtrl","Activated"
"R-MMU-72689","R-MMU-72689","Formation of a pool of free 40S subunits",90,0.54172503161347,1.99164993618468,5.47575048956416e-06,0.00203676089112788,0.0019172155425993,4345,"tags=77%, list=36%, signal=50%","20084/27367/67427/100043813/98221/20068/269261/57294/16341/66480/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/54709/22187/78655/19943/270106/22121/19988/20103/65019/20116/100503670/68193/19899/67025/19982/27370/20091/27050/54127/20104/67186/67891/53356/20088/16898/110954/20054/19941/26451/19944/66085/66481/76808/66489/223691/19921/55944/66211","FucoVsCtrl","Activated"
"R-MMU-72706","R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",101,0.527032193327304,1.96259566306451,1.57393267186611e-05,0.00203676089112788,0.0019172155425993,4345,"tags=75%, list=36%, signal=49%","13681/20084/27367/67427/100043813/98221/20068/269261/57294/16341/66480/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/54709/22187/78655/19943/270106/22121/19988/20103/65019/20116/13682/100503670/68193/19899/67025/19982/27370/226982/20091/27050/67204/54127/20104/67186/67891/53356/20088/16898/13665/110954/20054/19941/26451/19944/66085/22384/66481/76808/217869/66489/223691/19921/55944/66211","FucoVsCtrl","Activated"
"R-MMU-156827","R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression",100,0.526406309008298,1.95620722920613,9.70101059309179e-06,0.00203676089112788,0.0019172155425993,4345,"tags=75%, list=36%, signal=49%","13681/20084/27367/67427/100043813/98221/20068/269261/57294/16341/66480/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/54709/22187/78655/19943/270106/22121/19988/20103/65019/20116/13682/18458/100503670/68193/19899/67025/19982/27370/20091/27050/67204/54127/20104/67186/67891/53356/20088/16898/13665/110954/20054/19941/26451/19944/66085/22384/66481/76808/66489/223691/19921/55944/66211","FucoVsCtrl","Activated"
"R-MMU-927802","R-MMU-927802","Nonsense-Mediated Decay (NMD)",103,0.520259108844358,1.93993254081387,1.66475416946941e-05,0.00203676089112788,0.0019172155425993,4345,"tags=74%, list=36%, signal=48%","17149/20084/27367/67427/100043813/71978/20068/269261/57294/51792/66480/225363/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/22187/19943/270106/22121/67031/226517/19988/20103/65019/20116/18458/100503670/68193/19899/67025/19982/233789/27370/20091/27050/52830/192170/19052/54127/20104/103677/67186/67891/20088/16898/229512/110954/20054/19941/26451/14852/19944/66481/76808/66489/326622/19921/66211","FucoVsCtrl","Activated"
"R-MMU-975957","R-MMU-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",103,0.520259108844358,1.93993254081387,1.66475416946941e-05,0.00203676089112788,0.0019172155425993,4345,"tags=74%, list=36%, signal=48%","17149/20084/27367/67427/100043813/71978/20068/269261/57294/51792/66480/225363/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/22187/19943/270106/22121/67031/226517/19988/20103/65019/20116/18458/100503670/68193/19899/67025/19982/233789/27370/20091/27050/52830/192170/19052/54127/20104/103677/67186/67891/20088/16898/229512/110954/20054/19941/26451/14852/19944/66481/76808/66489/326622/19921/66211","FucoVsCtrl","Activated"
"R-MMU-72613","R-MMU-72613","Eukaryotic Translation Initiation",108,0.50265908861512,1.88310427624933,1.91946052567026e-05,0.00203676089112788,0.0019172155425993,4345,"tags=71%, list=36%, signal=46%","13681/20084/27367/67427/100043813/98221/20068/269261/57294/16341/66480/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/54709/22187/78655/19943/270106/22121/19988/20103/65019/20116/13682/18458/100503670/68193/19899/67025/19982/27370/226982/20091/27050/67204/54127/20104/67186/67891/53356/20088/16898/13665/110954/20054/19941/26451/19944/66085/22384/66481/76808/217869/66489/223691/19921/55944/66211","FucoVsCtrl","Activated"
"R-MMU-72737","R-MMU-72737","Cap-dependent Translation Initiation",108,0.50265908861512,1.88310427624933,1.91946052567026e-05,0.00203676089112788,0.0019172155425993,4345,"tags=71%, list=36%, signal=46%","13681/20084/27367/67427/100043813/98221/20068/269261/57294/16341/66480/67097/267019/68436/67115/20005/20085/27207/75617/19942/19934/20115/68028/76846/68052/66483/20055/19951/19946/67941/20044/66475/54709/22187/78655/19943/270106/22121/19988/20103/65019/20116/13682/18458/100503670/68193/19899/67025/19982/27370/226982/20091/27050/67204/54127/20104/67186/67891/53356/20088/16898/13665/110954/20054/19941/26451/19944/66085/22384/66481/76808/217869/66489/223691/19921/55944/66211","FucoVsCtrl","Activated"
"R-MMU-76002","R-MMU-76002","Platelet activation, signaling and aggregation",200,-0.368228348143634,-1.73895200994902,9.29769482960046e-06,0.00203676089112788,0.0019172155425993,2968,"tags=46%, list=24%, signal=35%","109905/21859/13139/20912/11818/20909/12988/20911/26416/11747/22341/19073/18750/30955/11674/74145/60595/16784/12315/22388/18761/66866/14682/14704/80884/109711/54368/14360/14707/57257/14062/104009/19395/13601/22631/18613/11465/192176/12928/16399/26417/108101/20344/12759/110524/67072/16797/19241/21894/21346/22330/18406/231871/14697/14672/22371/56744/74769/19247/106722/433099/215449/18783/16416/27359/22068/19353/109689/66066/18590/12527/56193/14723/243816/70839/56760/19128/14064/104709/71660/14067/80718/54216/70945/14065/57349/15234/18591/18441/20779/12843","FucoVsCtrl","Suppressed"
"R-MMU-3371571","R-MMU-3371571","HSF1-dependent transactivation",18,0.790151249763137,2.08710239050505,2.61916706594115e-05,0.0025013045479738,0.00235449334138289,1481,"tags=56%, list=12%, signal=49%","193740/15511/15512/12323/15516/108058/15481/56716/15519/81489","FucoVsCtrl","Activated"
