"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"R-MMU-72689","R-MMU-72689","Formation of a pool of free 40S subunits",90,-0.697924921684128,-2.43646882619068,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=81%, list=25%, signal=61%","68028/100503670/67115/19899/22121/20085/19946/19951/66235/269261/75617/68052/20005/20055/20068/66085/66483/57808/19942/20091/67097/54709/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/78655/56347/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/270106/68135/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/73830/11837/22187","FucoVsCtrl","Suppressed"
"R-MMU-1799339","R-MMU-1799339","SRP-dependent cotranslational protein targeting to membrane",82,-0.699055650339192,-2.42449083181939,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=84%, list=25%, signal=63%","20084/68028/100503670/67115/19899/22121/20085/19946/19951/269261/75617/68052/20005/20055/20068/66483/57808/19942/20091/67097/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/270106/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/66661/20090/20813/22186/11837/22187","FucoVsCtrl","Suppressed"
"R-MMU-156827","R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression",100,-0.684105841080302,-2.4205019302928,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=78%, list=25%, signal=59%","68028/100503670/67115/19899/22121/20085/67204/19946/19951/66235/269261/75617/68052/20005/13665/20055/13684/20068/66085/66483/57808/19942/20091/67097/54709/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/78655/56347/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/26905/270106/68135/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/73830/11837/22187/18458","FucoVsCtrl","Suppressed"
"R-MMU-72706","R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",101,-0.683882533662823,-2.41933331845833,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=77%, list=25%, signal=58%","68028/100503670/67115/19899/22121/20085/67204/19946/19951/66235/269261/75617/68052/20005/13665/20055/13684/20068/66085/66483/57808/19942/20091/67097/54709/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/78655/56347/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/26905/270106/68135/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/73830/11837/22187/217869","FucoVsCtrl","Suppressed"
"R-MMU-72613","R-MMU-72613","Eukaryotic Translation Initiation",108,-0.672402295939761,-2.39522117720624,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=74%, list=25%, signal=56%","68028/100503670/67115/19899/22121/20085/67204/19946/19951/66235/269261/75617/68052/20005/13665/20055/13684/20068/66085/66483/57808/19942/20091/67097/54709/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/78655/56347/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/26905/270106/68135/13685/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/73830/11837/22187/18458/217869","FucoVsCtrl","Suppressed"
"R-MMU-72737","R-MMU-72737","Cap-dependent Translation Initiation",108,-0.672402295939761,-2.39522117720624,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=74%, list=25%, signal=56%","68028/100503670/67115/19899/22121/20085/67204/19946/19951/66235/269261/75617/68052/20005/13665/20055/13684/20068/66085/66483/57808/19942/20091/67097/54709/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/78655/56347/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/68436/110954/16898/76808/26905/270106/68135/13685/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/73830/11837/22187/18458/217869","FucoVsCtrl","Suppressed"
"R-MMU-975956","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",84,-0.688775159301766,-2.39213366803934,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=82%, list=25%, signal=62%","20084/68028/100503670/67115/19899/22121/20085/19946/19951/269261/75617/68052/20005/20055/20068/66483/57808/19942/20091/67097/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/14853/68436/110954/16898/76808/270106/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/11837/22187/18458","FucoVsCtrl","Suppressed"
"R-MMU-114608","R-MMU-114608","Platelet degranulation ",84,-0.685894379783715,-2.38212864741358,1e-10,6.01875e-09,4.03947368421053e-09,1818,"tags=63%, list=15%, signal=54%","239273/19156/12314/21803/12512/18613/11804/60595/14268/16784/22388/20655/268936/27359/20363/104009/19073/18590/21346/12527/192176/11747/19241/54216/56193/21894/80718/56744/13601/11674/108101/21859/12315/19128/109711/22330/14069/70945/57349/12759/11465/22371/14067/74145/16399/433099/80884/22145/16416/20344/19039/71946/12491","FucoVsCtrl","Suppressed"
"R-MMU-76005","R-MMU-76005","Response to elevated platelet cytosolic Ca2+",89,-0.674602418027849,-2.35397700195834,1e-10,6.01875e-09,4.03947368421053e-09,1818,"tags=61%, list=15%, signal=52%","239273/19156/12314/21803/12512/18613/11804/60595/14268/16784/22388/18750/20655/268936/27359/20363/104009/19073/18590/21346/12527/192176/11747/19241/54216/56193/21894/80718/56744/13601/11674/108101/21859/12315/19128/109711/22330/14069/70945/57349/12759/11465/22371/14067/74145/16399/433099/80884/22145/16416/20344/19039/71946/12491","FucoVsCtrl","Suppressed"
"R-MMU-927802","R-MMU-927802","Nonsense-Mediated Decay (NMD)",104,-0.627468161273599,-2.22681540242602,1e-10,6.01875e-09,4.03947368421053e-09,3101,"tags=66%, list=25%, signal=50%","68028/100503670/67115/19899/22121/20085/19946/19951/269261/19052/75617/68052/20005/20055/20068/66483/57808/19942/20091/67097/20102/20116/19982/19988/20104/26961/67941/267019/20054/66475/54127/67025/66481/20115/67891/20088/20044/65019/20103/76846/27370/19941/16785/19921/67281/26451/14853/68436/110954/16898/76808/270106/19981/268449/114641/19943/66489/67248/19989/56040/67671/19944/67186/68193/20090/22186/11837/22187/18458","FucoVsCtrl","Suppressed"
