"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"old.tissues.Marrow","old.tissues.Marrow","old.tissues.Marrow",169,-0.673298486098765,-2.48321172393768,1e-10,7e-10,3.68421052631579e-10,1879,"tags=61%, list=15%, signal=53%","Lat/Tmem158/Mef2b/Anxa4/Phlda3/Tnik/Kiss1r/Neurl1a/Cuedc1/Ltbp2/Mob1b/Apbb2/Cd84/Tmbim1/Bmp2/Adarb1/Schip1/Sec14l5/Med12l/Trem2/Pard3b/Angpt1/Sytl4/Slc24a5/Cd226/Exoc3l4/Rnf180/Cysltr2/Proser2/Fhl1/Trpc6/Esam/Sh3bgrl2/Dtna/C4b/Ufsp1/Sdc2/Pde5a/Pkd1l3/Ophn1/Pls1/Ank3/Fam131a/Mfap3l/Slamf1/Ankrd35/Reep2/Slc3a2/Rab27b/Ecm1/Gm49392/Ro60/Myct1/Pde3a/Gp6/Mpl/Prickle1/Pmp22/Timp3/Ltbp1/Rbpms2/Nckap1/Nacc2/Csgalnact1/Mmrn1/Clec1b/Lancl3/Nbea/Palld/Cttn/Ppbp/Rhoj/Rida/Tm4sf1/F2rl2/Apol10b/Vwf/Slc24a3/Cavin1/Serpine2/Wwtr1/Itga2b/Tgfb1i1/Mgmt/Cald1/Dlg2/Cyp2b10/Treml1/Alox12/Myl9/Myom1/Gcsam/F2rl3/Selenom/Slc6a3/Gp1bb/Tpm2/Serpina3b/Clca3a1/Cd59a/Apol11b/Apol11a/Apol10a","FucoVsCtrl","Suppressed"
"old.tissues.WBC","old.tissues.WBC","old.tissues.WBC",470,-0.576124357150738,-2.2040270034109,1e-10,7e-10,3.68421052631579e-10,2967,"tags=49%, list=24%, signal=39%","Gab2/Cdc42bpb/Tifab/Trappc10/Sec14l1/Arhgdia/Efcab2/Gzmm/Rnf13/Cntnap1/Arhgap21/Pgd/Tapbp/Coro1b/Fyco1/Mpeg1/Gdi2/Pear1/Naaa/App/Gbe1/Tmigd3/Atg9a/Rasgrp2/Coro1c/Unc13d/Slain2/Ssr1/Mcu/Ccny/Rem1/Kcna3/P4hb/Rab43/Ids/Fam13b/Mink1/Abhd16a/Ccl9/Fbxw5/Wbp1l/Prcp/Dcaf8/Dennd5a/Cmtm6/Cpne3/Ttc12/Psap/Pign/Lgals3/Sh2b3/H2-D1/Pdk1/Ubqln2/Pea15a/Pygm/Ralb/Lyn/Slc38a10/Slc25a35/Grk5/Ppp3r1/Fbxw11/Map3k6/Xpnpep1/Focad/Tmod3/Ctnnb1/Ormdl1/Msantd3/Ankrd13a/Idh1/Tmem123/Pygb/Flot1/Aldh9a1/Gss/Nab1/Cmtm4/Cnp/Pde4d/S100a4/Mbnl2/Svip/Shisa9/Aplp2/Cenpb/Ms4a6d/Cds2/Nav1/Pde7b/Ggh/Cass4/Phlda3/Snx32/Adam9/Arf3/Vamp3/Ltbp2/Daglb/Arhgef17/Itgb4/Slc25a10/Nyx/Prkab1/Lamp2/Rab3d/Akr1a1/Pcyt1a/Atp8a1/Mbnl1/Tmbim1/Slc44a1/Gata2/Bmp2/Snx10/Fam174b/Fgf10/Chst12/Slc18a2/Ltb4r1/Atp2c1/Tubb4b/Bicd2/Leprot/Itgb5/Yap1/Amfr/Frmd4b/Lrrn3/Rtn3/Tollip/Angpt1/Ociad2/Pkm/Atp2a3/Ssr3/Wdr13/Vdac1/Arhgap10/Tacc1/Tsc22d1/Cpe/Daam1/Ostm1/Qsox1/Ptms/Lrrc8b/Nlrx1/Otud7b/Tom1l1/Cpq/Flna/Ehd4/Anxa5/Dtna/Mest/Arhgap18/Ufsp1/Tnfrsf21/Map1a/Sdc2/Lamp1/Pkd1l3/Rasgrf2/Nomo1/Hk1/Afap1l1/Cdkn2b/Adcy5/Tspan9/Itga6/Mfap3l/Rasl10a/Tln1/Mast2/Disp3/Hpse/Tspan17/Sort1/F10/Prickle1/Pmp22/Ssx2ip/Cyb5r3/Rab6a/Vcl/Gas2l1/Csgalnact1/Calu/Lancl3/Nbea/Serpinb6a/Tm4sf1/Armcx1/Tspan12/F5/Enpp5/Cc2d2b/Slc24a3/Cavin1/Wwtr1/Itga2b/Accsl/Mfsd2b/Il7/Cd93/Tubb1/Maged2/Arhgap28/Tuba1a/2510009E07Rik/Rai2/Aqp1/Myom1/Samd14/Thsd4/Stom/Xk/Itgb3/Kcna4/Slc6a3/Ldb3/Dstn/Septin5/Tpm2/Casp12/Clca3a1/Apol11a/Apol10a","FucoVsCtrl","Suppressed"
"young.tissues.Small","young.tissues.Small","young.tissues.Small",825,-0.427053297126312,-1.64795108061265,1e-10,7e-10,3.68421052631579e-10,2976,"tags=37%, list=24%, signal=30%","Brcc3/Ogfr/Atpaf2/Atf4/Ceacam1/Cebpa/Acat1/Sap30/Ostc/Dohh/Commd7/Zcchc17/Timm8b/Furin/Tmem127/Cptp/Actr2/Dnajb3/Casp6/Yipf3/Pgd/Mrpl18/Ndufv2/Coro1b/Lamtor2/Cox14/Mad2l1bp/Dnm1l/Rap2c/Naa38/Pgam1/Slc51a/Cope/Sdhd/Psmb2/Fbxo44/Plac8/Ndufc1/Ufm1/Nsmce1/Lamtor1/Prkcsh/Dynlt1f/Tgfbi/Dnttip1/Ebp/Tpm3/Apoo/Pnp2/Arl1/Ccdc12/Slc39a11/Vamp8/Pomp/Ccdc32/Smurf2/Ergic3/Emc10/S100a6/Sec22b/S100a11/Calm2/Csnk2b/Dctn3/Lgals3/Ubxn1/Tmsb10/Uqcrfs1/Ifit1bl1/Rpn2/Ndufb7/Rmdn2/Smpdl3a/Dpagt1/Tbc1d10b/Sec13/Mea1/Elovl6/Dad1/Nkiras2/Micos10/Gsto1/Praf2/Kmt5a/Ppp6r1/Alg9/Orai1/Ndufa8/Tbpl1/Rps27l/Ndufs4/Xpnpep1/Alg12/Cops9/Ctnnb1/Ormdl1/Dgcr6/Kcmf1/Ndufa6/Lamtor5/Mark3/Gmppb/B4galt1/Psme1/Edf1/Tm2d2/Tbca/Pnp/Sdf2/C1galt1/Add1/Gsk3a/Dbi/Shb/Ndufc2/Nab1/Ldha/Ndufa12/Micos13/Sap30l/Mboat7/Mob2/Dpf3/Cox5b/St3gal1/Txn1/Txndc17/Ppib/Triap1/Arf1/Aplp2/Mettl9/Ndufb8/Ggh/Hs6st1/Tax1bp3/Rhou/Dynlt1a/Adgra3/Tmem14c/Tmbim4/Lcmt1/Atp6ap2/As3mt/Clic1/Prodh/Rit1/Swt1/Ciao2a/2700097O09Rik/Oas1a/Dctn2/Rnf19b/Ifi47/Rtp4/Pdzd11/Mfsd6/Ndufb3/Rtn4ip1/Oxct1/Psmb5/Prdx5/Lamp2/C1galt1c1/Ptpn18/Tspan14/Pcyt1a/Fkbp1a/Mtx2/Ctnnbip1/Arpc5/Xaf1/Zdhhc2/Tpcn1/Gskip/Ube2l3/Cox17/Cd164/Ndufs5/Mrps21/Pdia5/Card19/Arpc3/Chchd2/Rab11a/Psenen/Prdx1/Tubb4b/Ap2s1/Itgb5/Hsbp1/Emc3/Coa3/Rtn3/Sod2/Brpf3/Lsm12/Psme4/Ago2/Coa5/Usp18/Tmem258/Ifit3b/Prdx6/Pef1/Ndufb6/Txnl1/Psmd8/Cdc42ep5/Mrps36/Gng5/Lrrc8b/Ndufa7/Pdgfa/Tagln2/Grtp1/Psma5/Trir/Polr2c/Tmem9b/Gapdh/Exosc9/BC031181/Uqcrc2/Tnnt1/Serf2/Jpt1/Ndufa5/Uqcrb/Ckb/Eipr1/Cd82/Capns1/Tomm7/Cox5a/S100a10/Sh3bgrl3/Atp5pb/Ptdss2/Spcs1/Rab27b/Pdlim1/Fth1/Pfkfb2/F10/Pafah2/Prr15l/Ybx1/Pla2g10/Bcap31/Ift20/Herc6/Ndufa13/Chchd10/Arl6ip1/Serpinb6a/Cox6b1/Ppif/Cox4i1/Dhcr24/Elovl7/Capn3/Taldo1/Uqcr11/Muc13/Ndufa11/Smdt1/Zfpm1/Ndufa4/AA986860/Lgals9/Ndufa1/Ndufb9/Cenpv/Ube2m/Lgals3bp/Cox6c/Cox7a2/Cox8a/Uqcrh/Ube2f/Isca1/Dcaf12/Ccdc71l/Ubac1/Rnasel/Paqr9/Bola3/Selenot/Nadk2/Fzr1/Cox6a1/Elob/Mpc2/Oasl2/Smap1/Endod1/Glrx5/Prdx2/Ifit1/Blvrb/Rsad2/Car2/Isg15","FucoVsCtrl","Suppressed"
"young.tissues.Limb","young.tissues.Limb","young.tissues.Limb",906,-0.40166524240567,-1.5515072635945,1e-10,7e-10,3.68421052631579e-10,2816,"tags=31%, list=22%, signal=26%","Haus8/Tapbp/Sri/Msrb2/Rab2b/Tecpr2/Emilin2/Dok2/Slmap/Knop1/Col5a3/Mrrf/Eng/Loxl3/Elavl1/Gng12/Elovl1/Pdrg1/Coro1c/Irak1/Gtpbp2/Ckap4/Adprh/Calr/Sp100/Ppp1r9b/Prkcsh/Tgfbi/Creb5/Ebp/Sptbn1/Rnd3/Pycr1/Crtap/Arpc4/Arhgap29/Rab43/Tpm3/Efemp2/Mapre1/Ccl9/Arpc1b/Pip4p2/Prcp/Rhog/Prkra/Abcc4/Clec3b/Cmtm6/S100a11/Slc39a1/Septin2/Pdia3/Uqcrfs1/Capza1/Xiap/Sdhaf2/Anxa3/Pdk1/Eno1/Armcx4/Pea15a/Asph/Rnase4/Galnt10/Ralb/Prkar1a/Fgl2/Npc2/Slc38a10/Ccnd3/Cd44/Loxl1/Atrn/Eid1/Timp2/Hpcal1/Homer2/Ifitm2/Kctd20/Adgrl2/Idh1/Pigc/Cmpk1/Sh3pxd2b/Atxn7l3b/Cyb5r4/Pnp/C1galt1/Pecam1/Arhgef40/Slc25a24/Gna12/Steap3/Pex19/Ldha/Picalm/Pkmyt1/Lamc1/Sppl2b/Cyba/Ppib/Jak2/Peli2/Mbnl2/Fsd1l/Ibtk/Inpp5j/Aplp2/Dapk1/Fbxl2/Actn4/Nynrin/Wasf2/Jcad/Tax1bp3/Akt3/Grn/Rap2b/Myh10/Pyurf/Tmem198b/2700097O09Rik/Oas1a/Fn1/Tram1/Arf3/Laptm5/Ltbp2/Mfsd6/Ywhaz/Rap1b/Rps2/Emilin1/Dnmt1/Tspan14/Fkbp1a/Arpc5/Wdr1/Nras/Myh9/Tpcn1/Rdh5/Adarb1/Ptprj/Ap5s1/Crip2/Glipr2/Mrc1/Pdia5/Gltp/Leprot/Frmd4b/Rtn3/Sod2/Rtl8a/Pamr1/Stx2/Cd81/Pdlim7/Pgk1/Ramp2/Slc1a4/H3c11/Arhgap10/Tacc1/Gpsm2/Cap1/Ptms/Hacd1/Mrps36/Mapre2/Dap/Srgn/Mdga1/Siah1b/Tagln2/Cd9/Flna/Anxa5/Spc25/Pfn1/Pip4k2a/Mest/Arhgap18/Gng11/Arhgdib/Pam/Eipr1/Sdc2/Sh3bgrl/Cavin2/Ap3m1/Mavs/Itgb1/Ank3/Igsf10/S100a10/Sh3bgrl3/Septin8/Mfap3l/Ptpa/Pdlim1/Mgll/Arpp21/Cercam/Prickle1/Pmp22/Ltbp1/Pros1/Pttg1ip/Actn1/Tie1/Parvb/Vcl/Zyx/Kdr/Gas2l1/Calu/Palld/Pdgfd/Slc22a4/Ilk/P2ry1/Rhoj/Tm4sf1/Clu/Tpm4/Armcx1/Rbm38/Tspan12/Map2k3/Ahsa1/Prdm5/Cavin1/Serpine2/F13a1/Golga7/Capn3/Ap2m1/Cald1/Rsu1/Tfrc/Cd93/Capn5/Arhgap28/Tuba1a/Ucp2/Samd14/Lgals9/Cdc25b/Itgb3/Abcb6/Mxra7/Sh3d19/Pigq/Plvap/Cacna1g/Tubb2a/Creb3l1/Dstn/Ube2f/Pabpc4/Arf5/Col1a2/Slc25a39/Pabpc1/Memo1/Tceal8/Carhsp1/Btg3/Slc25a51/Smap1/Endod1/Cd59a/Gclm/Glrx5/Col18a1/St3gal5/Rab3il1/Calcrl/Ank1/Blvrb/Nt5c3","FucoVsCtrl","Suppressed"
"young.tissues.Kidney","young.tissues.Kidney","young.tissues.Kidney",273,-0.406570192765318,-1.54285944625352,7.19197389885367e-05,0.000402750538335806,0.000211973967545161,2375,"tags=30%, list=19%, signal=25%","Plcb4/Slc33a1/Smpd1/Siae/Mpv17l/Ehd3/Nudt7/Chn2/Nkiras2/Kmt5a/Ttc23/Xpnpep1/Phtf2/Ect2/Pigc/Cmpk1/Gid4/Lpl/Cyb5r4/Pnp/Pecam1/H4c8/Lamc1/Dpf3/Sppl2b/Inpp5j/Jcad/Car5b/Prkcq/Rtn4ip1/Slc25a4/Cd164/Gtf2e2/Pon3/Ica1/Mboat2/Abhd5/Angpt1/Pdk3/Slc16a12/Pgk1/Exoc3l4/Pxmp4/Proser2/Hacd1/Lrrc8b/Dap/Spc25/Mest/Slc14a1/Afap1l1/Tspan9/Itgb1/Itga6/Hspa4l/Ecm1/Ltbp1/Dusp23/Rbpms2/Tspan12/Slc16a1/Slc14a2/Rrm2/Stradb/Robo3/Prdx3/Abcb6/Pigq/Acadsb/Paqr9/Memo1/Wasf3/Spire1/Slc25a51/Endod1/Acsl1/Dhrs11/Glrx5/Ctsf/Acmsd/Car2","FucoVsCtrl","Suppressed"
"young.tissues.Lung","young.tissues.Lung","young.tissues.Lung",608,-0.352873126659593,-1.35540391401512,0.000225592784374047,0.00105276632707889,0.000554087540567835,2322,"tags=27%, list=19%, signal=23%","Armcx4/Ttyh3/Pea15a/Rnase4/Med21/Ghr/Ttc23/Gnb1/Loxl1/Atrn/Klf7/Iah1/2900026A02Rik/Ctnnb1/Elf2/Spry1/Stab1/Pigc/Kctd7/Gid4/Atxn7l3b/Ppp1r9a/Pecam1/Arhgef40/Steap3/Siah1a/Pex19/Casd1/Lamc1/Pde4d/Ppib/Gnaq/Dapk1/Dach1/Cds2/Jcad/Zfp180/Tmem59/Tmem140/Myo10/Pyurf/St6galnac3/Mustn1/Cnn1/Reep1/Ctnnal1/Zfp652/Ltbp2/Emilin1/Cd99l2/Fkbp1a/Gab1/Apbb2/Zfp664/Gpm6b/Rgs12/Gata2/Bmp2/Inpp5a/Shank3/Schip1/Crip2/Lims1/Pdia5/Homer3/Cacna1c/Itgb5/Myo6/Mboat2/Abhd5/Ddc/Mtss2/Ramp2/Exoc3l4/Sardh/Oaz2/Nipal3/Tacc1/Tsc22d1/Cpe/Ptms/Hacd1/Trpc6/Snx22/Esam/Slc22a3/Vsig2/Mest/Gng11/Sdc2/Pde5a/Cavin2/Cdc42bpa/Afap1l1/Tspan9/Smtn/Ank3/Igsf10/Rab27b/Zfp532/St3gal2/Gsn/Zfp521/Myct1/Gucy1a1/Prickle1/Ltbp1/Pros1/Dusp3/Tie1/Mylk/Kdr/Csgalnact1/Calu/Palld/Mras/Gucy1b1/Rhoj/Agtr1a/Armcx1/Tspan12/Wwtr1/Lgalsl/Armcx6/Tgfb1i1/Cald1/Csrp1/Myl6/Cd151/Maged2/Slc22a23/Arhgef12/Tuba1a/Scoc/Ptp4a3/Foxo3/Poglut3/Prkg1/Mxra7/Plvap/Tubb2a/Acadsb/Lifr/Tspan6/Ube2e3/Tpm2/Col1a2/Tceal8/Art4/Elob/Wasf3/Tmcc2/Vangl1/Tspan8/Slc38a5/Slc6a9/Cox6b2/Ube2h/Cd36/St3gal5/Fam210b/Car2","FucoVsCtrl","Suppressed"
"young.tissues.Heart","young.tissues.Heart","young.tissues.Heart",295,-0.385251917918312,-1.46336742189416,0.000620705523909222,0.00248282209563689,0.00130674847138784,2257,"tags=25%, list=18%, signal=21%","Fgl2/Nkiras2/Cby1/Ehd1/Loxl1/Pigc/Dbi/Steap3/Casd1/Zfp644/Sppl2b/Ppib/Prodh/Rit1/Gucd1/Pim1/Tlcd1/Oxct1/Rps2/Pnpla2/Slc25a4/Fkbp1a/Dmac1/Tmem183a/Gm21988/Schip1/Sec14l5/Ddc/Tmx1/Ppp1ca/Pgk1/Nipal3/Tsc22d1/Rmc1/Ptms/Hacd1/Mrps36/Mapre2/Ramp1/Mdga1/Esam/Pde1c/Cavin2/Pcdh7/Afap1l1/Itgb1/S100a10/Gsn/Spop/Ybx1/Rbpms2/Tie1/Parvb/Mylk/Rhoj/Armcx1/Rbm38/Ahsa1/Tma7/Wwtr1/Golga7/Narf/Tuba1a/Aqp1/Mospd1/Tspan6/Rnf128/Col1a2/Adipor1/Tceal8/Dapk2/Slc48a1/Col18a1/Ube2h/Tmod1","FucoVsCtrl","Suppressed"
"old.tissues.BAT","old.tissues.BAT","old.tissues.BAT",372,-0.360814314743655,-1.37375930592721,0.00115282002356854,0.0040348700824899,0.00212361583288942,2137,"tags=24%, list=17%, signal=20%","Map7/Pyroxd2/Snap47/Mta3/Ergic1/Paqr7/Sap30l/Comt/Inpp5j/Shisa3/Mthfd2l/Phlda3/Hmgn3/Neurl1a/G6pdx/Auh/Tpi1/Ctnnal1/Aspa/Lpin2/Acad12/Prkab1/Akr1c13/Slc25a4/Fkbp1a/Atp8a1/Jund/Glis3/Inpp5a/Nrxn2/Gltp/Lyz2/Hdac11/Bicd2/Ctnna1/Itgb5/Pamr1/Plscr2/Pkm/Cela1/Mmd/Zwint/Pef1/Arhgap10/Plscr4/Prkn/Grtp1/Ccnd1/Gapdh/Cpq/Capns1/Hk1/Cdkn2b/Mvb12b/Slpi/Srxn1/Tle5/Txlnb/Tspan17/Cyb5r3/Htatip2/Ank/Enpp5/Slc24a3/Apcdd1/Rsu1/H1f2/Mxi1/Pitrm1/F2r/Wbp2/Myom1/Lrrc32/Rragd/Sqstm1/Scamp5/Dusp8/Rnf11/Tpm1/Syngr1/Marchf2/Aldh3b2/Creg1/Ppp2r5b/Mettl27/Slc48a1/Iscu/Pink1/Cd59a","FucoVsCtrl","Suppressed"
"old.tissues.Small","old.tissues.Small","old.tissues.Small",285,-0.374068009590228,-1.41908970606308,0.00254454974038659,0.00791637697009161,0.00416651419478505,2347,"tags=26%, list=19%, signal=22%","Ptgir/Unc13b/Ehd3/Gpr146/Klf7/Prune2/Kctd1/Tmx4/Pyroxd2/Slc39a8/Cd300lg/Ccr2/Arhgap31/Ncapg2/Ccdc122/Nedd4/Septin1/Rab6b/Frmd4a/Fn1/Ltbp2/Rab36/Mbnl1/Chst12/Nek7/Kif5a/Mctp1/Khdrbs3/Plscr2/Angpt1/Slc24a5/Oaz2/Tacc1/Tubb2b/Xkr6/C4b/Afap1l1/Cadm3/Slpi/Tal1/Gucy1a1/Gmpr/Timp3/Ltbp1/Magee1/Kdr/Csgalnact1/Pdgfd/Tspan12/Vwf/Ache/Enpp5/F13a1/Mgmt/Rsu1/Cd93/Acer2/Selp/Teddm2/Acadsb/Lifr/Syngr1/Pcp4l1/Fam117a/Ncoa7/Thbs1/Asb1/Clca3a1/Tent5c/Slc48a1/Ackr1/Reln/Calcrl/Ctse/Prnp","FucoVsCtrl","Suppressed"
"young.tissues.Skin","young.tissues.Skin","young.tissues.Skin",59,-0.499311371392043,-1.69040630501851,0.004381138665101,0.0122671882622828,0.00645641487488569,1231,"tags=27%, list=10%, signal=25%","Peg10/Hacd1/Tmem151b/Arpp21/Myct1/Pde3a/Nbea/Pck2/Prdm5/Cd93/P2rx1/Gvin1/Tfec/Oasl2/Slc38a5/Rsad2","FucoVsCtrl","Suppressed"
