"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0034660","GO:0034660","ncRNA metabolic process","63/887","461/11776",2.36705458596095e-06,0.00468064894695329,0.00450039552411324,"Trmt1/Utp20/Hnrnpa2b1/Osgep/Mettl16/Mtrex/Utp25/Ints2/Esr1/Helb/Pus10/Elac2/Prorp/Nol8/Rpp40/Mettl3/Ngdn/Zc3h7b/Prkdc/Dgcr8/Wdr4/Thada/Elp2/Tnf/Wdr12/Nsun6/Polr1b/Exosc8/Gatb/Tars2/Nfkb1/Snapc3/Nsun4/Ago3/Mtor/Ints11/Ddx51/Mepce/Mphosph6/Ints10/Dus2/Dis3/Trmt13/Trmt5/Ints6/Ddx1/Zc3h7a/Mrm3/Suv39h1/Uspl1/Dicer1/Utp15/Ago4/Zc3h12a/Mars2/Polr1a/Trmt1l/Dis3l2/Cars2/Las1l/Mdn1/Mocs3/Alkbh1",63,"Up"
"GO:0006397","GO:0006397","mRNA processing","58/887","414/11776",2.73263411833539e-06,0.00468064894695329,0.00450039552411324,"Ess2/Slbp/Hnrnpa2b1/Wdr83/Hnrnph1/Ccnt1/Prpf3/Mtrex/Ncbp3/Zfp36l1/Srsf5/Prpf4b/Snrnp48/Rbm26/Mettl3/Hsf1/Scaf4/Srsf7/Thoc1/Iws1/Sf1/Sf3b1/Cdc73/Cstf1/Dhx36/Khdc4/Mettl14/Ptbp2/Ncbp1/Psip1/Srsf10/Khdrbs1/Srrm1/Sfpq/Zfp326/Rbbp6/Rbmx/Rbm41/Syncrip/Dbr1/Rbm4b/Srsf2/Cpsf7/Prpf39/Ythdc1/Ddx1/Prkrip1/Aqr/Tardbp/Hnrnpa1/Rbm15/Cpsf3/Jmjd6/Prpf38a/Srsf3/Tia1/U2af1l4/Scnm1",58,"Up"
"GO:0006406","GO:0006406","mRNA export from nucleus","15/887","51/11776",3.07802429654973e-06,0.00468064894695329,0.00450039552411324,"Mcm3ap/Nup214/Hnrnpa2b1/Nup85/Ncbp3/Nup155/Fyttd1/Thoc1/Iws1/Ncbp1/Nup93/Ythdc1/Nup88/Srsf3/Thoc2l",15,"Up"
"GO:0051028","GO:0051028","mRNA transport","22/887","101/11776",4.60761777218914e-06,0.00470073098711235,0.00451970419790423,"Mcm3ap/Nup214/Slbp/Hnrnpa2b1/Nup85/Ncbp3/Zfp36l1/Nup155/Hsf1/Fyttd1/Srsf7/Thoc1/Iws1/Ahctf1/Ncbp1/Nup93/Ythdc1/Nup88/Hnrnpa1/Pom121/Srsf3/Thoc2l",22,"Up"
"GO:0006405","GO:0006405","RNA export from nucleus","17/887","66/11776",5.1520506215611e-06,0.00470073098711235,0.00451970419790423,"Mcm3ap/Nup214/Hnrnpa2b1/Nup85/Ncbp3/Nup155/Fyttd1/Thoc1/Iws1/Ncbp1/Khdrbs1/Nup93/Ythdc1/Nup88/Pom121/Srsf3/Thoc2l",17,"Up"
"GO:0051236","GO:0051236","establishment of RNA localization","25/887","129/11776",9.67384348253879e-06,0.00694804818998078,0.00668047643177044,"Mcm3ap/Nup214/Slbp/Hnrnpa2b1/Nup85/Ncbp3/Zfp36l1/Nup155/Hsf1/Fyttd1/Srsf7/Thoc1/Iws1/Ahctf1/Ncbp1/Khdrbs1/Atr/Nup93/Atm/Ythdc1/Nup88/Hnrnpa1/Pom121/Srsf3/Thoc2l",25,"Up"
"GO:0008380","GO:0008380","RNA splicing","50/887","354/11776",1.06611874901064e-05,0.00694804818998078,0.00668047643177044,"Ess2/Hnrnpa2b1/Wdr83/Hnrnph1/Prpf3/Mtrex/Clk4/Srsf5/Prpf4b/Snrnp48/Mettl3/Ivns1abp/Srsf7/Thoc1/Iws1/Sf1/Sf3b1/Clk1/Khdc4/Mettl14/Ptbp2/Ncbp1/Psip1/Srsf10/Khdrbs1/Srrm1/Sfpq/Zfp326/Fus/Rbmx/Rbm41/Syncrip/Dbr1/Rbm4b/Srsf2/Prpf39/Ythdc1/Ddx1/Prkrip1/Aqr/Tardbp/Hnrnpa1/Rbm15/Jmjd6/Prpf38a/Srsf3/Tia1/U2af1l4/Rbm12/Scnm1",50,"Up"
"GO:0006403","GO:0006403","RNA localization","27/887","149/11776",1.57476967447737e-05,0.00898012406870722,0.00863429635993055,"Mcm3ap/Nup214/Slbp/Hnrnpa2b1/Nup85/Ncbp3/Zfp36l1/Nup155/Hsf1/Fyttd1/Srsf7/Thoc1/Iws1/Nop58/Ahctf1/Dhx36/Ncbp1/Khdrbs1/Atr/Nup93/Atm/Ythdc1/Nup88/Hnrnpa1/Pom121/Srsf3/Thoc2l",27,"Up"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","38/887","248/11776",1.98079969886682e-05,0.00948987285199913,0.00912441453985564,"Hnrnpa2b1/Mettl16/Ccnt1/Btg2/Nbas/Zfp36l1/Mettl3/Hsf1/Srsf7/Iws1/Sf1/Cdc73/Exosc8/Dhx36/Mettl14/Ncbp1/Srsf10/Khdrbs1/Srrm1/Mtor/Fus/Rbmx/Syncrip/Srsf2/Cpsf7/Secisbp2/Ythdc1/Cnot1/Dicer1/Tardbp/Zc3h12a/Ythdf3/Rbm15/Tnrc6a/Fto/Jmjd6/Srsf3/Tia1",38,"Up"
"GO:0009451","GO:0009451","RNA modification","25/887","135/11776",2.1955138204294e-05,0.00948987285199913,0.00912441453985564,"Trmt1/Osgep/Mettl16/Pus10/Cbll1/Mettl3/Wdr4/Thada/Elp2/Nsun6/Mettl14/Nsun4/Mepce/Dus2/Syncrip/Trmt13/Trmt5/Mrm3/Mettl8/Rbm15/Trmt1l/Fto/Jmjd6/Mocs3/Alkbh1",25,"Up"
