"","repID","class","superf","fam","count","length","meanAcc","meanLen","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M"
"1","re1","DNA","DNA","Eulor1",58,10465,6.35213579101983,180.431034482759,0.216927012212382,0.245682195937643,0.377367852960219,0.18083314006833,0.358866722011839,0.999860467255716
"2","re10","DNA","DNA","Eulor9A",51,7794,25.3042940266581,152.823529411765,-0.0941477434997101,0.531586641604205,0.650093217758008,-0.0187500842204821,0.901115835949068,0.999860467255716
"3","re100","DNA","DNA/hAT-Charlie","Charlie20a",129,35412,19.0670632360748,274.511627906977,0.298967464847183,0.0159267672378943,0.0601561831411613,0.072002392445056,0.564252200174202,0.999860467255716
"4","re1000","LTR","LTR/ERVL","LTR83",126,30848,21.2063866787002,244.825396825397,-0.0594375144570464,0.630142438965872,0.724262362354577,0.0926966805226515,0.454133274175781,0.999860467255716
"5","re1001","LTR","LTR/ERVL","LTR84a",90,22497,17.6596003800385,249.966666666667,-0.356870660594783,0.0305269272039606,0.094390372637031,-0.0300307589623183,0.855508446000281,0.999860467255716
"6","re1002","LTR","LTR/ERVL","LTR84b",131,29811,21.2889279177201,227.564885496183,0.00162372987701387,0.989635640097062,0.994442609092921,0.0499751950512081,0.687994838649366,0.999860467255716
"7","re1003","LTR","LTR/ERVL","LTR86A1",55,11363,26.042060774091,206.6,0.0673335645415522,0.619719641640874,0.715347722615517,0.0772730233869288,0.570185603752328,0.999860467255716
"8","re1004","LTR","LTR/ERVL","LTR86A2",54,11344,22.6984921799027,210.074074074074,-0.183759373787439,0.251668936459703,0.384208003180573,-0.12943861969191,0.418201640877706,0.999860467255716
"9","re1005","LTR","LTR/ERVL","LTR86B1",27,5696,15.7174201305956,210.962962962963,0.563766354678235,0.00127028848389131,0.00938059188104351,-0.210425890520857,0.239248875988905,0.999860467255716
"10","re1006","LTR","LTR/ERVL","LTR86B2",18,4040,47.3317772939248,224.444444444444,0.433127003846833,0.0111801768389456,0.0466650859364687,0.0334167010224659,0.846026171814553,0.999860467255716
"11","re1007","LTR","LTR/ERVL","LTR86C",43,9180,26.7629508219184,213.488372093023,0.145516840189904,0.382324020796775,0.518106686441517,0.289160503412387,0.0807405701063797,0.999860467255716
"12","re1008","LTR","LTR/ERVL","LTR87",137,40249,26.0254692525254,293.788321167883,0.162040903937225,0.180826184823496,0.304995263421182,0.0406366581736288,0.737229664283735,0.999860467255716
"13","re1009","LTR","LTR/ERVL","LTR89",91,18426,15.4262761375338,202.483516483516,0.169339115112525,0.258770110634327,0.392241009803611,0.0897695972025897,0.55522112234693,0.999860467255716
"14","re101","DNA","DNA/hAT-Charlie","Charlie21a",146,45698,10.6361021539957,313,0.059620440685448,0.68157523567367,0.766772140132878,0.0424462959104965,0.770972065970634,0.999860467255716
"15","re1010","LTR","LTR/ERVL","LTR89B",68,12045,9.47251432460008,177.132352941176,0.30220140523818,0.0537977830807492,0.135021886947763,-0.0576855676426015,0.715789817707073,0.999860467255716
"16","re1011","LTR","LTR/ERVL","MER21-int",67,34898,20.3269875320963,520.865671641791,0.184687509226475,0.14905694172953,0.265399686047015,0.0516891807530478,0.686263279455853,0.999860467255716
"17","re1012","LTR","LTR/ERVL","MER21B",1086,430936,23.1090666377213,396.810313075506,0.0703404683419057,0.528305945976227,0.647846177796246,0.0665264698445881,0.550950285644501,0.999860467255716
"18","re1013","LTR","LTR/ERVL","MER21C",1532,621371,20.5633945877193,405.594647519582,0.109820083356344,0.339444565362672,0.476849381122042,0.00224907752361783,0.984390938848082,0.999860467255716
"19","re1014","LTR","LTR/ERVL","MER54A",189,74800,19.1319261123933,395.767195767196,0.329123277834428,0.00973989954484706,0.0426629820367446,-0.00205190108393982,0.987161259041282,0.999860467255716
"20","re1015","LTR","LTR/ERVL","MER54B",78,28626,20.5687846882416,367,0.188217234684406,0.131835032515802,0.244170349611261,-0.00339244253083205,0.978283591021534,0.999860467255716
"21","re1016","LTR","LTR/ERVL","MER68",499,172487,24.5732134216613,345.665330661323,0.0355909391617851,0.752315728808959,0.822513304378608,0.0186169731886825,0.868888103579853,0.999860467255716
"22","re1017","LTR","LTR/ERVL","MER68-int",32,20165,24.4689947779993,630.15625,-0.238758935652348,0.102018966587634,0.202981502469971,-0.109764703199086,0.452211726127556,0.999860467255716
"23","re1018","LTR","LTR/ERVL","MER68B",145,43444,21.7873997361487,299.613793103448,0.203602645599172,0.104763530138079,0.205951513172469,0.0234456667873445,0.851913344779965,0.999860467255716
"24","re1019","LTR","LTR/ERVL","MER68C",31,7186,12.9719224624717,231.806451612903,0.381818800334864,0.0182708035897244,0.065569986714525,0.206136204507359,0.211297120015496,0.999860467255716
"25","re102","DNA","DNA/hAT-Charlie","Charlie22a",136,28444,22.7335078144406,209.147058823529,-0.209907453589408,0.11552833502376,0.221077478317894,0.0596299249636801,0.655256255005201,0.999860467255716
"26","re1020","LTR","LTR/ERVL","MER70-int",24,13650,13.6891257744382,568.75,0.242195959828634,0.11308132236869,0.218207174821994,0.117456530279414,0.438890651488469,0.999860467255716
"27","re1021","LTR","LTR/ERVL","MER70A",180,58055,16.8180099721347,322.527777777778,0.2414283821486,0.0506360265043115,0.129642399071524,-0.0428793318210986,0.729122802791478,0.999860467255716
"28","re1022","LTR","LTR/ERVL","MER70B",152,47085,15.6604002221572,309.769736842105,0.235944966694412,0.0628689781938648,0.150259466554631,0.0425383855321219,0.737952721728511,0.999860467255716
"29","re1023","LTR","LTR/ERVL","MER70C",67,18991,14.8446203593504,283.44776119403,0.480951633225667,0.00149942501833599,0.0107288051001433,-0.201766610017484,0.191089819361239,0.999860467255716
"30","re1024","LTR","LTR/ERVL","MER73",92,34488,13.7821600173992,374.869565217391,0.268885638359562,0.0429352541086743,0.117765268412364,-0.0990708181436739,0.458042868132232,0.999860467255716
"31","re1025","LTR","LTR/ERVL","MER74A",534,172477,20.8594390313733,322.99063670412,0.179628204319959,0.109034181817855,0.212764941975716,0.012538740896125,0.91099326388758,0.999860467255716
"32","re1026","LTR","LTR/ERVL","MER74B",316,99178,21.2472899184762,313.854430379747,0.0675091733015279,0.551259487651282,0.666370335544886,-0.0385531681624047,0.733938607148753,0.999860467255716
"33","re1027","LTR","LTR/ERVL","MER74C",80,21749,15.7684219726722,271.8625,0.298452920614626,0.026844493666632,0.0871122724055214,0.0423614401632647,0.753397040634016,0.999860467255716
"34","re1028","LTR","LTR/ERVL","MER76",168,53213,17.8734311791027,316.744047619048,-0.218256899933729,0.0659735083943603,0.153849153178751,-0.00152350480296849,0.989774751802505,0.999860467255716
"35","re1029","LTR","LTR/ERVL","MER76-int",12,4881,6.29003624008492,406.75,0.176318145473645,0.47727129503296,0.602985382995417,0.0979114015126167,0.712569081235353,0.999860467255716
"36","re103","DNA","DNA/hAT-Charlie","Charlie23a",148,24873,15.0135941084388,168.060810810811,0.213298160611531,0.147083909474862,0.262698703434172,0.0946508733333018,0.525500805265386,0.999860467255716
"37","re1030","LTR","LTR/ERVL","MER77",387,126047,26.7384409754552,325.702842377261,-0.0731222745241802,0.58181661122651,0.68814449294963,0.103120596434534,0.436893105645438,0.999860467255716
"38","re1031","LTR","LTR/ERVL","MER77B",360,122466,22.9744943257563,340.183333333333,-0.017531925758863,0.88306032219406,0.92228965654357,-0.0212946931877106,0.858103813377245,0.999860467255716
"39","re1032","LTR","LTR/ERVL","MER88",45,12885,19.4968728647713,286.333333333333,0.387611040416684,0.00968340660596309,0.0425774214124789,0.0621692728630478,0.680546869881306,0.999860467255716
"40","re1033","LTR","LTR/ERVL","MERVL_2A-int",2044,2088584,12.2812034001581,1021.81213307241,0.235597813246826,0.0425190774933084,0.117181763809309,0.0171262223512547,0.882726716926049,0.999860467255716
"41","re1034","LTR","LTR/ERVL","MERVL-int",1307,4149721,16.2627095034417,3174.99693955624,0.363684429287444,0.00450385409867351,0.0247068567698661,-0.154334364481598,0.227605462798732,0.999860467255716
"42","re1035","LTR","LTR/ERVL","MLT2B1",1444,442565,14.3890113604352,306.485457063712,0.138659044537674,0.223853565811139,0.354835544750751,-0.0216045278704441,0.849704927631802,0.999860467255716
"43","re1036","LTR","LTR/ERVL","MLT2B2",1371,392075,13.1434955636641,285.977388767323,0.301859925829414,0.0100279931606497,0.0435933891361072,-0.0548037390932293,0.640057757666182,0.999860467255716
"44","re1037","LTR","LTR/ERVL","MLT2B3",594,153208,15.1629339893409,257.925925925926,0.288384690863009,0.015029968987581,0.0573328618334217,-0.052836065120976,0.656256501228432,0.999860467255716
"45","re1038","LTR","LTR/ERVL","MLT2B4",1286,352475,15.4556439811346,274.086314152411,0.109107468035031,0.34516185690901,0.48184236540057,-0.000856817562741587,0.994086427509156,0.999860467255716
"46","re1039","LTR","LTR/ERVL","MLT2B5",705,191340,15.4023368332071,271.404255319149,0.168665646722037,0.154941796081034,0.272092910191084,-0.0146138126165814,0.901900708162806,0.999860467255716
"47","re104","DNA","DNA/hAT-Charlie","Charlie24",274,66719,17.042322031171,243.5,0.0559665395440965,0.668610186711045,0.754396606357614,-0.033919550387418,0.795549972745397,0.999860467255716
"48","re1040","LTR","LTR/ERVL","MLT2C1",697,166350,16.3441342195875,238.665710186514,0.0737926747865354,0.521852628581618,0.642967088904838,0.0366027368344808,0.750855814201034,0.999860467255716
