SampleID	Treatment	Sex	Tissue	Replicate	Batch
Li_F2_C	Ctrl	F	Liver	1	B1
Li_F2_Fu	Fuco	F	Liver	1	B1
Li_F3_C	Ctrl	F	Liver	1	B1
Li_F3_Fu	Fuco	F	Liver	1	B1
Li_F4_C	Ctrl	F	Liver	1	B1
Li_F4_Fu	Fuco	F	Liver	1	B1
Li_F5_C	Ctrl	F	Liver	1	B1
Li_F5_Fu	Fuco	F	Liver	1	B1
Li_M2_C	Ctrl	M	Liver	1	B1
Li_M2_Fu	Fuco	M	Liver	1	B1
Li_M3_C	Ctrl	M	Liver	1	B1
Li_M3_Fu	Fuco	M	Liver	1	B1
Li_M4_C	Ctrl	M	Liver	1	B1
Li_M4_Fu	Fuco	M	Liver	1	B1
Li_M5_C	Ctrl	M	Liver	1	B1
Li_M5_Fu	Fuco	M	Liver	1	B1
Lu_F1_C	Ctrl	F	Lung	1	B2
Lu_F1_Fu	Fuco	F	Lung	1	B2
Lu_F2_C	Ctrl	F	Lung	1	B2
Lu_F2_Fu	Fuco	F	Lung	1	B2
Lu_F3_C	Ctrl	F	Lung	1	B2
Lu_F4_Fu	Fuco	F	Lung	1	B2
Lu_F5_C	Ctrl	F	Lung	1	B2
Lu_F6_Fu	Fuco	F	Lung	1	B2
Lu_M1_C	Ctrl	M	Lung	1	B1
Lu_M2_C	Ctrl	M	Lung	1	B1
Lu_M2_Fu	Fuco	M	Lung	1	B1
Lu_M3_C	Ctrl	M	Lung	1	B1
Lu_M3_Fu	Fuco	M	Lung	1	B1
Lu_M4_C	Ctrl	M	Lung	1	B1
Lu_M4_Fu	Fuco	M	Lung	1	B1
Lu_M5_Fu	Fuco	M	Lung	1	B1
