SampleID	Treatment	Sex	Tissue	Replicate	Batch	mapped	annotated	unannotated
Li_F2_C	Ctrl	F	Liver	1	B1	22208662	14067830	8140832
Li_F2_Fu	Fuco	F	Liver	1	B1	29938401	19250018	10688383
Li_F3_C	Ctrl	F	Liver	1	B1	42465382	27020908	15444474
Li_F3_Fu	Fuco	F	Liver	1	B1	68574226	44238683	24335543
Li_F4_C	Ctrl	F	Liver	1	B1	50662478	31579361	19083117
Li_F4_Fu	Fuco	F	Liver	1	B1	39371670	24887623	14484047
Li_F5_C	Ctrl	F	Liver	1	B1	28602841	18318065	10284776
Li_F5_Fu	Fuco	F	Liver	1	B1	53538892	34641263	18897629
Li_M2_C	Ctrl	M	Liver	1	B1	75975107	55376534	20598573
Li_M2_Fu	Fuco	M	Liver	1	B1	79977349	69340496	10636853
Li_M3_C	Ctrl	M	Liver	1	B1	85147079	69010508	16136571
Li_M3_Fu	Fuco	M	Liver	1	B1	80513570	62605678	17907892
Li_M4_C	Ctrl	M	Liver	1	B1	86710553	69631865	17078688
Li_M4_Fu	Fuco	M	Liver	1	B1	75759295	60880983	14878312
Li_M5_C	Ctrl	M	Liver	1	B1	79679496	63523286	16156210
Li_M5_Fu	Fuco	M	Liver	1	B1	65999223	55486498	10512725
Lu_F1_C	Ctrl	F	Lung	1	B2	61218976	43071697	18147279
Lu_F1_Fu	Fuco	F	Lung	1	B2	68991271	49757077	19234194
Lu_F2_C	Ctrl	F	Lung	1	B2	59207117	42561286	16645831
Lu_F2_Fu	Fuco	F	Lung	1	B2	70559927	50214556	20345371
Lu_F3_C	Ctrl	F	Lung	1	B2	76351964	55046515	21305449
Lu_F4_Fu	Fuco	F	Lung	1	B2	76856784	54431033	22425751
Lu_F5_C	Ctrl	F	Lung	1	B2	72182522	51620170	20562352
Lu_F6_Fu	Fuco	F	Lung	1	B2	73188177	52571537	20616640
Lu_M1_C	Ctrl	M	Lung	1	B1	87891924	68639227	19252697
Lu_M2_C	Ctrl	M	Lung	1	B1	77174825	64282871	12891954
Lu_M2_Fu	Fuco	M	Lung	1	B1	64965896	57748024	7217872
Lu_M3_C	Ctrl	M	Lung	1	B1	103632948	83078950	20553998
Lu_M3_Fu	Fuco	M	Lung	1	B1	81851942	68289941	13562001
Lu_M4_C	Ctrl	M	Lung	1	B1	93548116	76087841	17460275
Lu_M4_Fu	Fuco	M	Lung	1	B1	72608837	59863831	12745006
Lu_M5_Fu	Fuco	M	Lung	1	B1	86452816	70347234	16105582
