"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"1","0610010K14Rik","ENSMUSG00000020831",FALSE,"0610010K14Rik",104457,0.191931624209159,0.495466377345039,1,"Not Sig.",-0.00637059494230558,0.98163605139595,0.999100566295736,"Not Sig."
"2","0610030E20Rik","ENSMUSG00000058706",FALSE,"0610030E20Rik",68364,0.0519170330887035,0.801914895045165,1,"Not Sig.",-0.383679536864369,0.095549558001108,0.925389388241069,"Not Sig."
"3","0610040J01Rik","ENSMUSG00000060512",FALSE,"0610040J01Rik",76261,0.16190401616227,0.239670484346694,1,"Not Sig.",0.133941952037739,0.28144130221706,0.986137123213456,"Not Sig."
"4","1110002E22Rik","ENSMUSG00000090066",FALSE,"1110002E22Rik",102634333,-0.0759658425544497,0.57789384611657,1,"Not Sig.",-0.0369409466681465,0.777070512363843,0.997255085969628,"Not Sig."
"5","1110004F10Rik","ENSMUSG00000030663",FALSE,"1110004F10Rik",56372,0.15845381517693,0.343213506453395,1,"Not Sig.",0.0500955799580272,0.815395387009752,0.999068264048154,"Not Sig."
"6","1110032F04Rik","ENSMUSG00000046999",FALSE,"1110032F04Rik",68725,0.508342047292286,0.107604210786875,1,"Not Sig.",0.631339596081406,0.0861990358245002,0.923519210973685,"Not Sig."
"7","1110038F14Rik","ENSMUSG00000063236",FALSE,"1110038F14Rik",117171,0.00861674331173801,0.96005599088802,1,"Not Sig.",0.0969389594182476,0.58525101063894,0.996770697201572,"Not Sig."
"8","1110059E24Rik","ENSMUSG00000035171",FALSE,"1110059E24Rik",66206,-0.29872486922838,0.115364628250986,1,"Not Sig.",0.304373528399334,0.0853519504952567,0.923519210973685,"Not Sig."
"9","1110059G10Rik","ENSMUSG00000032551",FALSE,"1110059G10Rik",66202,-0.0567197117762589,0.869918227456185,1,"Not Sig.",0.479873506315561,0.239958304676247,0.976693933353438,"Not Sig."
"10","1110065P20Rik","ENSMUSG00000078570",FALSE,"1110065P20Rik",68920,0.502173196648505,0.170181280165911,1,"Not Sig.",0.228977939448957,0.635628542626508,0.997255085969628,"Not Sig."
"11","1190005I06Rik","ENSMUSG00000043687",FALSE,"1190005I06Rik",68918,-0.247766588382342,0.187038535471153,1,"Not Sig.",0.00310426196324412,0.98374110072335,0.999100566295736,"Not Sig."
"12","1500009L16Rik","ENSMUSG00000087651",FALSE,"1500009L16Rik",69784,-0.00946842957962524,0.949598704047754,1,"Not Sig.",-0.113472442013846,0.423481610238694,0.993405749193857,"Not Sig."
"13","1600012H06Rik","ENSMUSG00000050088",FALSE,"1600012H06Rik",67912,0.211264106043923,0.25518270176749,1,"Not Sig.",0.277068758590328,0.173310216268304,0.959300024083201,"Not Sig."
"14","1600014C10Rik","ENSMUSG00000054676",FALSE,"1600014C10Rik",72244,0.204553081529739,0.164902869092592,1,"Not Sig.",0.113556729825695,0.395421046395885,0.993405749193857,"Not Sig."
"15","1600014C23Rik","ENSMUSG00000094690",FALSE,"1600014C23Rik",72240,0.398271669611165,0.260394446863603,1,"Not Sig.",0.0744627936729252,0.840437315935167,0.999068264048154,"Not Sig."
"16","1700001F09Rik","ENSMUSG00000095384",FALSE,"1700001F09Rik",71826,0.166016780290974,0.588542496744781,1,"Not Sig.",0.429748629044947,0.262652407731072,0.984905890378959,"Not Sig."
"17","1700001J03Rik","ENSMUSG00000095040",FALSE,"1700001J03Rik",69282,-0.182261541788673,0.461975172269678,1,"Not Sig.",-0.146376230374438,0.538610704945558,0.993405749193857,"Not Sig."
"18","1700001K19Rik","ENSMUSG00000056508",FALSE,"1700001K19Rik",66323,-0.251186666267834,0.154148366743721,1,"Not Sig.",0.0678207847019975,0.649442613650034,0.997255085969628,"Not Sig."
"19","1700001O22Rik","ENSMUSG00000044320",FALSE,"1700001O22Rik",73598,-0.198201346406212,0.35012634967661,1,"Not Sig.",-0.02198474940507,0.917129580885335,0.999068264048154,"Not Sig."
"20","1700003E16Rik","ENSMUSG00000030030",FALSE,"1700003E16Rik",71837,0.046616704172899,0.798241775469525,1,"Not Sig.",-0.0700591872861188,0.649620894729873,0.997255085969628,"Not Sig."
"21","1700003F12Rik","ENSMUSG00000038523",FALSE,"1700003F12Rik",75480,0.192008912189017,0.611176685610308,1,"Not Sig.",0.185837010896572,0.67827208619525,0.997255085969628,"Not Sig."
"22","1700003H04Rik","ENSMUSG00000039174",FALSE,"1700003H04Rik",384775,0.246401013329828,0.152771988331243,1,"Not Sig.",-0.0145528781058661,0.933046167486623,0.999068264048154,"Not Sig."
"23","1700006A11Rik","ENSMUSG00000027973",FALSE,"1700006A11Rik",71824,0.368232974597277,0.0942435817097432,1,"Not Sig.",-0.00124904527817609,0.995801194659836,0.999100566295736,"Not Sig."
"24","1700008O03Rik","ENSMUSG00000008028",FALSE,"1700008O03Rik",69349,-0.332404007173094,0.0158307287190842,1,"Not Sig.",-0.224699925743322,0.127998433234093,0.943897093451509,"Not Sig."
