"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"1","AmnHarb1:PIF-Harbinger:DNA","AmnHarb1:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","AmnHarb1",0.18196907805844,0.361643279602968,0.772073516037448,"Not Sig.",-0.101373090782289,0.611490682687366,0.99994677260524,"Not Sig."
"2","AmnL2-1:L2:LINE","AmnL2-1:L2:LINE",TRUE,"LINE","LINE/L2","AmnL2-1",0.0930509821367772,0.358866731292038,0.770629932247545,"Not Sig.",-0.0398192985218508,0.694146942669874,0.99994677260524,"Not Sig."
"3","AmnSINE1:5S-Deu-L2:SINE","AmnSINE1:5S-Deu-L2:SINE",TRUE,"SINE","SINE/5S-Deu-L2","AmnSINE1",-0.00839464789668088,0.924880781611376,0.988628476129926,"Not Sig.",-0.0493492725617091,0.578264721208,0.99994677260524,"Not Sig."
"4","Arthur1:hAT-Tip100:DNA","Arthur1:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1",0.0123185524498538,0.892288310533592,0.981375893117918,"Not Sig.",-0.0111400619736451,0.902482562237063,0.99994677260524,"Not Sig."
"5","Arthur1A:hAT-Tip100:DNA","Arthur1A:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1A",-0.00962346336851307,0.956381030392142,0.997133079165893,"Not Sig.",0.0152593581979471,0.930819544121885,0.99994677260524,"Not Sig."
"6","Arthur1B:hAT-Tip100:DNA","Arthur1B:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1B",0.0503495548740454,0.662584765672885,0.913287236197797,"Not Sig.",-0.00899333614906165,0.937801354995984,0.99994677260524,"Not Sig."
"7","Arthur1C:hAT-Tip100:DNA","Arthur1C:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1C",-0.23466324760737,0.266463395669934,0.700231787173579,"Not Sig.",0.121791989749636,0.564182978039899,0.99994677260524,"Not Sig."
"8","Arthur2:hAT-Tip100:DNA","Arthur2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur2",0.0375183860529218,0.706810189133036,0.929263248419211,"Not Sig.",-0.026039699690756,0.793265574532599,0.99994677260524,"Not Sig."
"9","B1_Mm:Alu:SINE","B1_Mm:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mm",-0.00896497034468366,0.928549966864085,0.989881544395734,"Not Sig.",0.162663203246089,0.103744844120671,0.99994677260524,"Not Sig."
"10","B1_Mur1:Alu:SINE","B1_Mur1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur1",-0.00464604802033197,0.953116529592898,0.996267006534723,"Not Sig.",-0.0739572145982492,0.349454866875683,0.99994677260524,"Not Sig."
"11","B1_Mur2:Alu:SINE","B1_Mur2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur2",-0.0216794037894863,0.792859015152157,0.956593445045545,"Not Sig.",-0.0647527712971586,0.433007240351704,0.99994677260524,"Not Sig."
"12","B1_Mur3:Alu:SINE","B1_Mur3:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur3",-0.00111170754242135,0.988796476989774,1,"Not Sig.",-0.048913310861665,0.536799015867959,0.99994677260524,"Not Sig."
"13","B1_Mur4:Alu:SINE","B1_Mur4:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur4",0.0071931980888564,0.926497271223766,0.989088816431295,"Not Sig.",-0.0612298829605631,0.432410095011265,0.99994677260524,"Not Sig."
"14","B1_Mus1:Alu:SINE","B1_Mus1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus1",-0.000764531219814605,0.992450760426009,1,"Not Sig.",0.0680089999412943,0.399956563874694,0.99994677260524,"Not Sig."
"15","B1_Mus2:Alu:SINE","B1_Mus2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus2",-0.00212853652462458,0.981606973989497,1,"Not Sig.",0.132090238943007,0.152524641066945,0.99994677260524,"Not Sig."
"16","B1F:Alu:SINE","B1F:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F",0.00241061109264023,0.974202204849437,1,"Not Sig.",-0.0681044512913148,0.360960943149311,0.99994677260524,"Not Sig."
"17","B1F1:Alu:SINE","B1F1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F1",0.0191809210303042,0.790999480367083,0.956230942336414,"Not Sig.",-0.0547334216377702,0.449479232358425,0.99994677260524,"Not Sig."
"18","B1F2:Alu:SINE","B1F2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F2",-0.0339727008849653,0.656308885892677,0.911042884632888,"Not Sig.",-0.0628179771875088,0.410651660006441,0.99994677260524,"Not Sig."
"19","B2_Mm1a:B2:SINE","B2_Mm1a:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1a",0.0266373961197753,0.752065473313644,0.945519636651899,"Not Sig.",-0.045706601962803,0.587754408917692,0.99994677260524,"Not Sig."
"20","B2_Mm1t:B2:SINE","B2_Mm1t:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1t",0.00463425349123094,0.953691852808445,0.996267006534723,"Not Sig.",0.00211141788760679,0.978887015472639,0.99994677260524,"Not Sig."
"21","B2_Mm2:B2:SINE","B2_Mm2:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm2",0.000152622326996338,0.998615340577239,1,"Not Sig.",-0.0796965680978751,0.364948127407646,0.99994677260524,"Not Sig."
"22","B3:B2:SINE","B3:B2:SINE",TRUE,"SINE","SINE/B2","B3",0.0143468278084934,0.848226680922555,0.970826598365842,"Not Sig.",-0.0356235994614426,0.634647300346906,0.99994677260524,"Not Sig."
"23","B3A:B2:SINE","B3A:B2:SINE",TRUE,"SINE","SINE/B2","B3A",0.0259450155026542,0.72094973943029,0.936226292727644,"Not Sig.",0.0152152896542505,0.834069820050922,0.99994677260524,"Not Sig."
"24","B4:B4:SINE","B4:B4:SINE",TRUE,"SINE","SINE/B4","B4",0.0176172843025362,0.811661610174421,0.96179717527207,"Not Sig.",-0.0263890391955936,0.721121406200216,0.99994677260524,"Not Sig."
"25","B4A:B4:SINE","B4A:B4:SINE",TRUE,"SINE","SINE/B4","B4A",0.0145590054545308,0.843835596606629,0.970563319569576,"Not Sig.",-0.018937811308668,0.79775472546542,0.99994677260524,"Not Sig."
"26","BGLII_A:ERVK:LTR","BGLII_A:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_A",-0.017932765223864,0.87367173943464,0.977517680441652,"Not Sig.",0.114316918120907,0.309722038513617,0.99994677260524,"Not Sig."
"27","BGLII_B:ERVK:LTR","BGLII_B:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_B",0.0690006092146642,0.416497187803262,0.806624904204172,"Not Sig.",0.016132101641733,0.84933003881393,0.99994677260524,"Not Sig."
"28","BGLII_B2:ERVK:LTR","BGLII_B2:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_B2",-0.050053111897012,0.639864620937144,0.90606224140501,"Not Sig.",0.0535480195622867,0.617324722379085,0.99994677260524,"Not Sig."
"29","BGLII_C:ERVK:LTR","BGLII_C:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_C",-0.0409729353821554,0.778521883975527,0.953569105257606,"Not Sig.",0.0622506952490559,0.670809022998974,0.99994677260524,"Not Sig."
"30","BGLII_Mur:ERVK:LTR","BGLII_Mur:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_Mur",-0.033469816366377,0.748316942066342,0.944568990385365,"Not Sig.",0.00421648699046961,0.967825681868042,0.99994677260524,"Not Sig."
"31","BGLII_Mus:ERVK:LTR","BGLII_Mus:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII_Mus",-0.00109054594928405,0.991024534984005,1,"Not Sig.",0.178686698895144,0.0652779242665746,0.99994677260524,"Not Sig."
"32","BGLII:ERVK:LTR","BGLII:ERVK:LTR",TRUE,"LTR","LTR/ERVK","BGLII",0.0554424978857257,0.486481417215217,0.843744164985733,"Not Sig.",0.101619544813502,0.202336065299383,0.99994677260524,"Not Sig."
"33","BLACKJACK:hAT-Blackjack:DNA","BLACKJACK:hAT-Blackjack:DNA",TRUE,"DNA","DNA/hAT-Blackjack","BLACKJACK",-0.0364651152460058,0.713713074308713,0.932979056617008,"Not Sig.",-0.0136618923333498,0.891559850867467,0.99994677260524,"Not Sig."
"34","CENSAT_MC:centr:Satellite","CENSAT_MC:centr:Satellite",TRUE,"Satellite","Satellite/centr","CENSAT_MC",0.654687356403338,0.571589948458303,0.879599829561818,"Not Sig.",1.78007551235716,0.149194079368934,0.99994677260524,"Not Sig."
"35","Chap1_Mam:hAT-Charlie:DNA","Chap1_Mam:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Chap1_Mam",-0.232562908356671,0.556249997647079,0.872681043532175,"Not Sig.",0.19030758984884,0.626678222270572,0.99994677260524,"Not Sig."
"36","Chap1a_Mam:hAT-Charlie:DNA","Chap1a_Mam:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Chap1a_Mam",0.140583169570471,0.464699841430529,0.833399617978994,"Not Sig.",0.0109679014003688,0.95418579837619,0.99994677260524,"Not Sig."
"37","Charlie1:hAT-Charlie:DNA","Charlie1:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie1",-0.00466990338103738,0.962438787122666,0.998309411310037,"Not Sig.",-0.0809024433482566,0.415674335002925,0.99994677260524,"Not Sig."
"38","Charlie10:hAT-Charlie:DNA","Charlie10:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie10",-0.060290008895723,0.638929209264659,0.90606224140501,"Not Sig.",-0.0725187291815636,0.574270590708779,0.99994677260524,"Not Sig."
"39","Charlie10a:hAT-Charlie:DNA","Charlie10a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie10a",-0.342078784961502,0.0833754168426282,0.453097218979977,"Not Sig.",-0.111010114134795,0.566573935287709,0.99994677260524,"Not Sig."
"40","Charlie10b:hAT-Charlie:DNA","Charlie10b:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie10b",0.317498355475779,0.127919336946129,0.536824170006851,"Not Sig.",-0.0387980260024821,0.850454853048784,0.99994677260524,"Not Sig."
"41","Charlie11:hAT-Charlie:DNA","Charlie11:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie11",0.506441901449497,0.0477393643901664,0.358922735576927,"Not Sig.",-0.052626237922846,0.836848365793926,0.99994677260524,"Not Sig."
"42","Charlie12_Rodent:hAT-Charlie:DNA","Charlie12_Rodent:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie12_Rodent",0.0138412443232123,0.869732236934403,0.976778226900182,"Not Sig.",-0.0379578410179321,0.652813540533882,0.99994677260524,"Not Sig."
"43","Charlie12:hAT-Charlie:DNA","Charlie12:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie12",0.0224131867317451,0.895867531346992,0.982629837894841,"Not Sig.",0.0423826880262193,0.803024668082769,0.99994677260524,"Not Sig."
"44","Charlie13a:hAT-Charlie:DNA","Charlie13a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie13a",-0.121200494990199,0.312984789993251,0.739636436326091,"Not Sig.",0.120614055208187,0.31086139639111,0.99994677260524,"Not Sig."
"45","Charlie13b:hAT-Charlie:DNA","Charlie13b:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie13b",0.376346159677784,0.0296126449861377,0.292168638275997,"Not Sig.",-0.0177837871148058,0.917161486254969,0.99994677260524,"Not Sig."
"46","Charlie14a:hAT-Charlie:DNA","Charlie14a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie14a",-0.369176619712994,0.215671591688433,0.649306261214028,"Not Sig.",0.0936903344373931,0.751745766902225,0.99994677260524,"Not Sig."
"47","Charlie15a:hAT-Charlie:DNA","Charlie15a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie15a",0.0274878020869773,0.883646040377504,0.979179885899367,"Not Sig.",0.000101924943186389,0.999564673688074,0.99994677260524,"Not Sig."
"48","Charlie15b:hAT-Charlie:DNA","Charlie15b:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie15b",-0.104563925824491,0.377036286452319,0.78112387524118,"Not Sig.",0.0408915372129907,0.728157121809463,0.99994677260524,"Not Sig."
"49","Charlie16:hAT-Charlie:DNA","Charlie16:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie16",0.150298873260638,0.314534597398768,0.740567397348834,"Not Sig.",-0.161506778149255,0.282866141384371,0.99994677260524,"Not Sig."
