"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"1","AmnHarb1:PIF-Harbinger:DNA","AmnHarb1:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","AmnHarb1",0.187176651921787,0.180234002113367,1,"Not Sig.",0.0551445838943665,0.703913620105883,0.98835989991527,"Not Sig."
"2","AmnL2-1:L2:LINE","AmnL2-1:L2:LINE",TRUE,"LINE","LINE/L2","AmnL2-1",0.0397992008897019,0.747994819108568,1,"Not Sig.",0.0664324870470191,0.593865871229642,0.98284631892906,"Not Sig."
"3","AmnSINE1:5S-Deu-L2:SINE","AmnSINE1:5S-Deu-L2:SINE",TRUE,"SINE","SINE/5S-Deu-L2","AmnSINE1",0.0130284065748846,0.914223589273049,1,"Not Sig.",0.0424802074685848,0.726366239685474,0.98835989991527,"Not Sig."
"4","Arthur1:hAT-Tip100:DNA","Arthur1:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1",0.0576711028067364,0.683952941988679,1,"Not Sig.",0.134068297197405,0.345938556672201,0.97373497422497,"Not Sig."
"5","Arthur1A:hAT-Tip100:DNA","Arthur1A:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1A",0.10412057318608,0.370945641818446,1,"Not Sig.",0.127293225966662,0.296299657795026,0.97373497422497,"Not Sig."
"6","Arthur1B:hAT-Tip100:DNA","Arthur1B:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1B",-0.0486674249406303,0.722722664055604,1,"Not Sig.",0.133524283467636,0.333769066386295,0.97373497422497,"Not Sig."
"7","Arthur1C:hAT-Tip100:DNA","Arthur1C:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1C",-0.0144385973079505,0.905806333990058,1,"Not Sig.",0.132821968931172,0.293636715245901,0.97373497422497,"Not Sig."
"8","Arthur2:hAT-Tip100:DNA","Arthur2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur2",0.064360489676572,0.594410915352105,1,"Not Sig.",0.0587722214986078,0.629479930512939,0.986735070204155,"Not Sig."
"9","B1_Mm:Alu:SINE","B1_Mm:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mm",0.0331307477619398,0.77440799499643,1,"Not Sig.",0.0732672471240727,0.52621688338761,0.977360332205777,"Not Sig."
"10","B1_Mur1:Alu:SINE","B1_Mur1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur1",0.0420973127561239,0.769741072585133,1,"Not Sig.",0.152597557626182,0.288869926020292,0.97373497422497,"Not Sig."
"11","B1_Mur2:Alu:SINE","B1_Mur2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur2",0.0270509968059196,0.852968039590498,1,"Not Sig.",0.170841278383984,0.242080064807068,0.960455053310939,"Not Sig."
"12","B1_Mur3:Alu:SINE","B1_Mur3:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur3",0.0282842345489089,0.841242651879792,1,"Not Sig.",0.174807735977101,0.215988749555204,0.956588297693584,"Not Sig."
"13","B1_Mur4:Alu:SINE","B1_Mur4:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur4",0.0253655053987612,0.849444529370385,1,"Not Sig.",0.141025666122983,0.291475118033548,0.97373497422497,"Not Sig."
"14","B1_Mus1:Alu:SINE","B1_Mus1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus1",0.0303815539851788,0.803973199589377,1,"Not Sig.",0.0973572293484321,0.426454565516533,0.974503915986586,"Not Sig."
"15","B1_Mus2:Alu:SINE","B1_Mus2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus2",0.0180366351875856,0.873679567376896,1,"Not Sig.",0.0722285237662175,0.524369848415144,0.977360332205777,"Not Sig."
"16","B1F:Alu:SINE","B1F:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F",0.0165531326599035,0.899091539318287,1,"Not Sig.",0.125555879010704,0.336279519045418,0.97373497422497,"Not Sig."
"17","B1F1:Alu:SINE","B1F1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F1",0.0178532681556817,0.88658098237516,1,"Not Sig.",0.092642819841641,0.459419705062186,0.976593321676619,"Not Sig."
"18","B1F2:Alu:SINE","B1F2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F2",0.0210095770081099,0.870530710336491,1,"Not Sig.",0.115645693511087,0.36991069314516,0.974503915986586,"Not Sig."
"19","B2_Mm1a:B2:SINE","B2_Mm1a:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1a",0.0539052013251238,0.700846003622944,1,"Not Sig.",0.0820872591288042,0.558693982236234,0.98018937315243,"Not Sig."
