"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"1","AmnHarb1:PIF-Harbinger:DNA","AmnHarb1:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","AmnHarb1",-0.831885424060478,-0.163470794667687,0.571360833098695,0.823259513430655,"Not Sig.",-0.0127265780123331,0.970309361054499,0.99404246577124,"Not Sig."
"2","AmnL2-1:L2:LINE","AmnL2-1:L2:LINE",TRUE,"LINE","LINE/L2","AmnL2-1",3.62941322047944,-0.0954886416619925,0.467185122696591,0.764258516797228,"Not Sig.",0.162250451775089,0.227316664157232,0.633181567242077,"Not Sig."
"3","AmnSINE1:5S-Deu-L2:SINE","AmnSINE1:5S-Deu-L2:SINE",TRUE,"SINE","SINE/5S-Deu-L2","AmnSINE1",4.21884167586209,-0.252210205005643,0.100483563995587,0.386906663641584,"Not Sig.",0.112860111957234,0.478201037159873,0.818256584550261,"Not Sig."
"4","Arthur1:hAT-Tip100:DNA","Arthur1:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1",2.24963345843267,-0.0787084960776555,0.684746283342136,0.880937026079667,"Not Sig.",0.00504767363085822,0.980457039147195,0.996625126890428,"Not Sig."
"5","Arthur1A:hAT-Tip100:DNA","Arthur1A:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1A",-0.0418031200033138,-0.122900363009385,0.635792285285182,0.855845413101902,"Not Sig.",0.698153553384332,0.0155093719020016,0.201038284916839,"Not Sig."
"6","Arthur1B:hAT-Tip100:DNA","Arthur1B:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1B",1.30706186925419,-0.139433537988662,0.543019445436561,0.810018346042376,"Not Sig.",0.121333439355478,0.620346612008672,0.880635938359023,"Not Sig."
"7","Arthur1C:hAT-Tip100:DNA","Arthur1C:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1C",0.375800676029537,-0.156937040687748,0.496469656974656,0.783347792449798,"Not Sig.",-0.0373409073220268,0.883941696206887,0.968602416558572,"Not Sig."
"8","Arthur2:hAT-Tip100:DNA","Arthur2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur2",2.14954760272064,-0.191385835240999,0.325152759113674,0.653315820280616,"Not Sig.",0.129351881023243,0.544203327936163,0.851445570127627,"Not Sig."
"9","B1_Mm:Alu:SINE","B1_Mm:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mm",8.31307869045382,-0.294164007905454,0.0391839882373018,0.239954016756419,"Not Sig.",0.175076828151915,0.220018724815712,0.62693401777081,"Not Sig."
"10","B1_Mur1:Alu:SINE","B1_Mur1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur1",8.88067436623164,-0.32547813816633,0.0242625890207534,0.183258543615222,"Not Sig.",0.189715679258977,0.189140903807676,0.595955132000885,"Not Sig."
"11","B1_Mur2:Alu:SINE","B1_Mur2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur2",8.37218222783808,-0.323454887040114,0.0191336502769073,0.162035717144318,"Not Sig.",0.199640760771975,0.148328430311542,0.547474189023763,"Not Sig."
"12","B1_Mur3:Alu:SINE","B1_Mur3:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur3",8.44924481333821,-0.306955991782131,0.0345404910057405,0.224437354131911,"Not Sig.",0.218683496629535,0.132353446252596,0.524170574517649,"Not Sig."
"13","B1_Mur4:Alu:SINE","B1_Mur4:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur4",8.31368903138709,-0.297972553107828,0.0397191848810456,0.241615150326525,"Not Sig.",0.226445768023977,0.118367794443041,0.502068591492193,"Not Sig."
"14","B1_Mus1:Alu:SINE","B1_Mus1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus1",9.72003764563905,-0.315913669861032,0.034689402332095,0.224776831910633,"Not Sig.",0.1937703975205,0.195092956968972,0.603495614937891,"Not Sig."
"15","B1_Mus2:Alu:SINE","B1_Mus2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus2",9.37269345457381,-0.318188269339793,0.0359967288642331,0.229143040955464,"Not Sig.",0.191344691714873,0.207276572047475,0.613810286633615,"Not Sig."
"16","B1F:Alu:SINE","B1F:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F",8.84415048165209,-0.283167497803677,0.0554314166951384,0.287646436545793,"Not Sig.",0.191383705339209,0.195599417924916,0.603592257295085,"Not Sig."
"17","B1F1:Alu:SINE","B1F1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F1",7.67849785753277,-0.297383491357619,0.0413283738613432,0.246410967524206,"Not Sig.",0.24882275468621,0.0882994957219638,0.445436958967376,"Not Sig."
