"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"1","AmnHarb1:PIF-Harbinger:DNA","AmnHarb1:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","AmnHarb1",-0.831885424060478,0.0716261697185145,0.757067136096958,0.92603853958518,"Not Sig.",-0.41039035124223,0.0660728700324781,0.239409119185407,"Not Sig."
"2","AmnL2-1:L2:LINE","AmnL2-1:L2:LINE",TRUE,"LINE","LINE/L2","AmnL2-1",3.62941322047944,-0.10366024984005,0.487393301299129,0.801544859840781,"Not Sig.",-0.363527594585033,0.0146592182136143,0.113433160525985,"Not Sig."
"3","AmnSINE1:5S-Deu-L2:SINE","AmnSINE1:5S-Deu-L2:SINE",TRUE,"SINE","SINE/5S-Deu-L2","AmnSINE1",4.21884167586209,-0.209973035686115,0.271465527883345,0.670180480218758,"Not Sig.",-0.353928379201456,0.0634964776938315,0.235187798268268,"Not Sig."
"4","Arthur1:hAT-Tip100:DNA","Arthur1:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1",2.24963345843267,-0.206528942795976,0.224220045550749,0.638091945376483,"Not Sig.",-0.284105020633,0.0928990277253674,0.283631605323092,"Not Sig."
"5","Arthur1A:hAT-Tip100:DNA","Arthur1A:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1A",-0.0418031200033138,-0.135488420970169,0.59770750854547,0.862763789132237,"Not Sig.",-0.406082767149432,0.109176752803021,0.309744430561158,"Not Sig."
"6","Arthur1B:hAT-Tip100:DNA","Arthur1B:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1B",1.30706186925419,-0.119011369150938,0.515413521117751,0.820415332436058,"Not Sig.",-0.31774669981323,0.0802067126887554,0.262990345038211,"Not Sig."
"7","Arthur1C:hAT-Tip100:DNA","Arthur1C:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1C",0.375800676029537,-0.163599277251585,0.345663148162584,0.71709975344989,"Not Sig.",-0.514821385689802,0.00236642737682301,0.0402186466210477,"Sig. Down"
"8","Arthur2:hAT-Tip100:DNA","Arthur2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur2",2.14954760272064,-0.238609472339087,0.224680977393031,0.638586047389433,"Not Sig.",-0.371067470254813,0.0579996069410928,0.225354473599494,"Not Sig."
"9","B1_Mm:Alu:SINE","B1_Mm:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mm",8.31307869045382,-0.315697628396615,0.0830778198336712,0.458576188949632,"Not Sig.",-0.436769154689081,0.0165842758209436,0.121058907684591,"Not Sig."
"10","B1_Mur1:Alu:SINE","B1_Mur1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur1",8.88067436623164,-0.230344589419085,0.183976171944408,0.604023988760123,"Not Sig.",-0.364634190389782,0.0355841216363387,0.177809465688295,"Not Sig."
"11","B1_Mur2:Alu:SINE","B1_Mur2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur2",8.37218222783808,-0.250947677877387,0.147384581750343,0.563599147632496,"Not Sig.",-0.36854610876666,0.0334665284254673,0.17229563226391,"Not Sig."
"12","B1_Mur3:Alu:SINE","B1_Mur3:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur3",8.44924481333821,-0.265407619546365,0.119405766750881,0.525908886456941,"Not Sig.",-0.379083386280057,0.0262256922770176,0.153456699007326,"Not Sig."
"13","B1_Mur4:Alu:SINE","B1_Mur4:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur4",8.31368903138709,-0.270261515686974,0.132216171719759,0.544904698097716,"Not Sig.",-0.403680361202466,0.0246528344729481,0.148411764255772,"Not Sig."
"14","B1_Mus1:Alu:SINE","B1_Mus1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus1",9.72003764563905,-0.314694283440058,0.0783732721040337,0.451484848110568,"Not Sig.",-0.438892301091505,0.0141791176959866,0.110921117663785,"Not Sig."
"15","B1_Mus2:Alu:SINE","B1_Mus2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mus2",9.37269345457381,-0.31928220561149,0.0766730919823598,0.448508175947735,"Not Sig.",-0.436923365227821,0.0154961057730808,0.117102287770117,"Not Sig."
"16","B1F:Alu:SINE","B1F:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F",8.84415048165209,-0.235384831391915,0.181033553975108,0.601426627490972,"Not Sig.",-0.358990453478726,0.0414892512555563,0.19146890519331,"Not Sig."
"17","B1F1:Alu:SINE","B1F1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F1",7.67849785753277,-0.227404943102464,0.197222873300553,0.614307078219726,"Not Sig.",-0.364920275653244,0.0386494598370805,0.185869822132332,"Not Sig."
"18","B1F2:Alu:SINE","B1F2:Alu:SINE",TRUE,"SINE","SINE/Alu","B1F2",7.76599896548073,-0.232306853800572,0.187769845045223,0.606053376795256,"Not Sig.",-0.369123698343233,0.0364787383592878,0.180401550495004,"Not Sig."
"19","B2_Mm1a:B2:SINE","B2_Mm1a:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1a",8.16486234834234,-0.27118640940079,0.0746203193948044,0.444204927671769,"Not Sig.",-0.380094738989516,0.0125124940525032,0.103869032204409,"Not Sig."
"20","B2_Mm1t:B2:SINE","B2_Mm1t:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm1t",8.36614865918588,-0.252923502470576,0.129091942509743,0.539282691713186,"Not Sig.",-0.388368764876174,0.0198755753467468,0.132726147966437,"Not Sig."
"21","B2_Mm2:B2:SINE","B2_Mm2:B2:SINE",TRUE,"SINE","SINE/B2","B2_Mm2",9.80547580536781,-0.270745658968395,0.121152459626472,0.529332025468597,"Not Sig.",-0.37818216963096,0.0304969168595619,0.165383335958004,"Not Sig."
"22","B3:B2:SINE","B3:B2:SINE",TRUE,"SINE","SINE/B2","B3",10.9997623346869,-0.241128787052762,0.17898141938678,0.600096442041982,"Not Sig.",-0.36329464194125,0.0430409002769319,0.194927861173989,"Not Sig."
